MainGenre,Year,Original,Series or Movie,IMDb Score,BoxOfficeProfits,color,Title,Genre
ACTION,2011.0,0.0,Movie,6.6,0.0,#ff3351,Rosa & Dara a jejich dobrodružství,"Animation, Short, Action, Sci-Fi"
ACTION,2011.0,0.0,Movie,5.5,0.0,#ff3351,How to Steal 2 Million,"Action, Drama"
ACTION,2011.0,0.0,Movie,5.2,139528.0,#001bff,Game,"Action, Crime, Drama, Mystery, Thriller"
ACTION,2011.0,0.0,Movie,7.1,85468508.0,#001bff,Real,"Action, Drama, Sci-Fi, Sport"
ACTION,2011.0,0.0,Movie,7.4,11018.0,#001bff,The Front Line,"Action, Drama, History, War"
ACTION,2011.0,0.0,Movie,6.3,0.0,#ff3351,Detective K: Secret of Virtuous Widow,"Action, Comedy, Crime, History, Mystery"
ACTION,2011.0,0.0,Movie,7.4,0.0,#ff3351,Doraemon the Movie: Nobita and the Steel Troops,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi"
ACTION,2011.0,0.0,Movie,4.0,3000.0,#001bff,Zokkomon,"Action, Adventure"
ACTION,2011.0,0.0,Movie,5.8,0.0,#ff3351,Quick,"Action, Comedy, Crime, Thriller"
ACTION,2011.0,0.0,Movie,6.4,30116.0,#001bff,Muran,"Action, Thriller"
ACTION,2011.0,0.0,Movie,7.6,1532594.0,#001bff,Delhi Belly,"Action, Comedy, Crime"
ACTION,2011.0,0.0,Movie,5.6,0.0,#ff3351,Bbuddah Hoga Terra Baap,"Action, Comedy, Crime, Thriller"
ACTION,2011.0,0.0,Movie,7.2,0.0,#ff3351,Shaitan,"Action, Crime, Drama, Thriller"
ACTION,2011.0,0.0,Movie,5.7,0.0,#ff3351,Wild 7,Action
ACTION,2011.0,0.0,Movie,4.6,0.0,#ff3351,Sector 7,"Action, Sci-Fi"
ACTION,2011.0,0.0,Movie,5.4,0.0,#ff3351,Vicky and the Treasure of the Gods,"Action, Adventure, Comedy, Family"
ACTION,2011.0,0.0,Movie,4.9,21443494.0,#001bff,The Darkest Hour,"Action, Adventure, Horror, Sci-Fi, Thriller"
ACTION,2011.0,0.0,Movie,6.2,78046570.0,#001bff,Tower Heist,"Action, Comedy, Crime"
ACTION,2011.0,0.0,Movie,6.0,36392502.0,#001bff,Sucker Punch,"Action, Adventure, Fantasy"
ACTION,2011.0,0.0,Movie,5.8,0.0,#ff3351,Ninja Kids!!!,"Action, Adventure, Comedy"
ACTION,2011.0,0.0,Movie,7.5,186848418.0,#001bff,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery"
ACTION,2011.0,0.0,Movie,6.8,63686397.0,#001bff,Unknown,"Action, Mystery, Thriller"
ACTION,2011.0,0.0,Movie,7.3,77591831.0,#001bff,The Adventures of Tintin,"Animation, Action, Adventure, Family, Mystery"
ACTION,2011.0,0.0,Movie,5.8,42587643.0,#001bff,Final Destination 5,"Action, Fantasy, Horror, Thriller"
ACTION,2011.0,0.0,Movie,5.6,0.0,#ff3351,Death Race 2,"Action, Crime, Sci-Fi, Thriller"
ACTION,2011.0,0.0,Movie,6.7,37520095.0,#001bff,In Time,"Action, Sci-Fi, Thriller"
ACTION,2011.0,0.0,Movie,7.6,176760185.0,#001bff,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi, Thriller"
ACTION,2011.0,0.0,Movie,6.1,37053924.0,#001bff,30 Minutes or Less,"Action, Comedy, Crime"
ACTION,2011.0,0.0,Movie,6.7,350864.0,#001bff,Singham,"Action, Crime, Drama"
ACTION,2011.0,0.0,Movie,4.6,1834384.0,#001bff,Bodyguard,"Action, Comedy, Drama, Romance"
ACTION,2011.0,0.0,Movie,7.0,0.0,#ff3351,Naruto Shippuden The Movie: Bonds,"Animation, Action, Fantasy"
ACTION,2011.0,0.0,Movie,6.2,0.0,#ff3351,Blitz,"Action, Crime, Thriller"
ACTION,2011.0,0.0,Movie,7.3,0.0,#ff3351,Bleach The Movie: Fade to Black,"Animation, Action, Drama, Fantasy"
ACTION,2011.0,0.0,Movie,7.1,3680306.0,#001bff,Don 2,"Action, Crime, Thriller"
ACTION,2011.0,0.0,Movie,6.3,8305970.0,#001bff,Johnny English Reborn,"Action, Adventure, Comedy"
ACTION,2011.0,0.0,Movie,6.3,0.0,#ff3351,Thor: Tales of Asgard,"Animation, Action, Adventure, Fantasy, Sci-Fi"
ACTION,2011.0,0.0,Movie,6.9,66099.0,#001bff,Shaolin,"Action, Drama"
ACTION,2011.0,0.0,Movie,5.0,14890.0,#001bff,Ong Bak 3,Action
ACTION,2011.0,0.0,Movie,7.5,1200010.0,#001bff,Jo Nesbos Headhunters,"Action, Crime, Thriller"
ACTION,2011.0,0.0,Movie,6.8,538690.0,#001bff,Machine Gun Preacher,"Action, Biography, Crime, Drama"
ACTION,2011.0,0.0,Movie,5.5,116601172.0,#001bff,Green Lantern,"Action, Adventure, Sci-Fi"
ACTION,2011.0,0.0,Movie,6.2,19490041.0,#001bff,The Eagle,"Action, Adventure, Drama, History, War"
ACTION,2011.0,0.0,Movie,6.4,25124966.0,#001bff,Killer Elite,"Action, Crime, Thriller"
ACTION,2011.0,0.0,Movie,3.5,38538188.0,#001bff,Spy Kids: All the Time in the World,"Action, Adventure, Comedy, Family, Sci-Fi"
ACTION,2011.0,0.0,Movie,5.9,23209310.0,#001bff,Sanctum,"Action, Adventure, Drama, Thriller"
ACTION,2011.0,0.0,Movie,6.6,29121498.0,#001bff,The Mechanic,"Action, Crime, Thriller"
ACTION,2011.0,0.0,Movie,6.0,0.0,#ff3351,New Kids Nitro,"Action, Comedy"
ACTION,2011.0,0.0,Movie,6.0,83504017.0,#001bff,Immortals,"Action, Drama, Fantasy, Romance"
ACTION,2011.0,0.0,Movie,5.5,3033623.0,#001bff,From Prada to Nada,"Action, Comedy, Drama, Family, Romance"
ACTION,2011.0,0.0,Movie,5.9,137921.0,#001bff,The Double,"Action, Crime, Drama, Thriller"
ACTION,2011.0,0.0,Movie,7.5,54712227.0,#001bff,Source Code,"Action, Drama, Mystery, Sci-Fi, Thriller"
ACTION,2011.0,0.0,Movie,6.7,0.0,#ff3351,Jackass 3.5: The Explicit Movie,"Documentary, Action, Comedy"
ACTION,2011.0,0.0,Movie,5.7,20374484.0,#001bff,The Three Musketeers,"Action, Adventure, Fantasy, History, Romance, Thriller"
ACTION,2011.0,0.0,Movie,5.5,0.0,#ff3351,Bang Rajan 2,"Action, Adventure, War"
ACTION,2011.0,0.0,Movie,7.2,79884879.0,#001bff,War Horse,"Action, Adventure, Drama, History, War"
ACTION,2011.0,0.0,Movie,7.1,85468508.0,#001bff,Real Steel,"Action, Drama, Sci-Fi, Sport"
ACTION,2011.0,0.0,Movie,6.2,352390543.0,#001bff,Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi"
ACTION,2011.0,0.0,Movie,6.0,100240551.0,#001bff,Cowboys and Aliens,"Action, Sci-Fi, Thriller, Western"
ACTION,2011.0,0.0,Movie,6.6,149260504.0,#001bff,Puss in Boots,"Animation, Action, Adventure, Comedy, Family, Fantasy, Mystery"
ACTION,2011.0,0.0,Movie,7.3,209837675.0,#001bff,Fast Five,"Action, Adventure, Crime, Thriller"
ACTION,2011.0,0.0,Movie,7.2,165249063.0,#001bff,Kung Fu Panda 2,"Animation, Action, Adventure, Comedy, Family, Fantasy"
ACTION,2011.0,0.0,Movie,8.2,13657115.0,#001bff,Warrior,"Action, Drama, Sport"
ACTION,2011.0,0.0,Movie,6.2,1104682.0,#001bff,Red State,"Action, Crime, Horror, Thriller"
ACTION,2011.0,0.0,Movie,5.7,29137000.0,#001bff,Priest,"Action, Horror, Thriller"
ACTION,2011.0,0.0,Movie,5.4,24827228.0,#001bff,Season of the Witch,"Action, Adventure, Fantasy"
ACTION,2011.0,0.0,Movie,6.8,40259119.0,#001bff,Hanna,"Action, Adventure, Drama, Thriller"
ACTION,2011.0,0.0,Movie,5.8,98780042.0,#001bff,The Green Hornet,"Action, Comedy, Crime"
ACTION,2011.0,0.0,Movie,7.4,0.0,#ff3351,LEGO Ninjago: Masters of Spinjitzu: King of Shadows,"Animation, Action"
ACTION,2011.0,0.0,Movie,7.4,0.0,#ff3351,LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,"Animation, Action"
ACTION,2011.0,0.0,Movie,6.4,10759.0,#001bff,Special Forces,"Action, Drama, War"
ACTION,2011.0,0.0,Movie,6.4,36665854.0,#001bff,Colombiana,"Action, Drama, Thriller"
ACTION,2011.0,0.0,Movie,5.2,21295021.0,#001bff,Conan the Barbarian,"Action, Adventure, Fantasy"
ACTION,2011.0,0.0,Movie,5.3,0.0,#ff3351,S.W.A.T.: Fire Fight,"Action, Crime, Thriller"
ACTION,2011.0,0.0,Movie,5.0,0.0,#ff3351,Battle: Los Angeles,Action
ACTION,2011.0,0.0,Movie,5.1,28087155.0,#001bff,Abduction,"Action, Mystery, Thriller"
ACTION,2011.0,0.0,Movie,5.7,0.0,#ff3351,Never Back Down 2: The Beatdown,"Action, Drama, Sport"
ACTION,2011.0,0.0,Series,7.6,0.0,#ff3351,Beelzebub,"Animation, Action, Comedy, Drama, Fantasy"
ACTION,2011.0,0.0,Series,7.1,11137.0,#001bff,Dragons Dogma,"Action, Crime, Drama, Thriller"
ACTION,2011.0,0.0,Series,7.5,0.0,#ff3351,Tiger and Bunny,"Animation, Action, Comedy, Crime, Sci-Fi"
ACTION,2011.0,0.0,Series,7.1,0.0,#ff3351,Guilty Crown,"Animation, Action, Romance, Sci-Fi"
ACTION,2011.0,0.0,Series,6.3,0.0,#ff3351,Blood-C,"Animation, Action, Fantasy, Horror, Mystery, Thriller"
ACTION,2011.0,0.0,Series,7.2,0.0,#ff3351,Those Who Kill,"Action, Crime, Thriller"
ACTION,2011.0,0.0,Series,7.2,0.0,#ff3351,Deadman Wonderland,"Animation, Action, Drama, Horror, Thriller"
ACTION,2011.0,0.0,Series,8.0,0.0,#ff3351,Fairy Tail,"Animation, Action, Adventure, Comedy, Fantasy"
ACTION,2011.0,0.0,Series,7.6,0.0,#ff3351,Teen Wolf,"Action, Drama, Fantasy, Romance, Thriller"
ACTION,2011.0,0.0,Series,7.4,0.0,#ff3351,LEGO Ninjago: Masters of Spinjitzu,"Animation, Action"
ACTION,2011.0,0.0,Series,8.3,0.0,#ff3351,Fate/Zero,"Animation, Action, Drama, Fantasy, Thriller"
ACTION,2011.0,0.0,Series,6.5,0.0,#ff3351,Transformers: Rescue Bots,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi"
ACTION,2011.0,0.0,Series,7.0,0.0,#ff3351,My Babysitters a Vampire,"Action, Comedy, Fantasy, Horror"
ACTION,2012.0,0.0,Movie,6.0,0.0,#ff3351,Yuma,"Action, Crime, Drama"
ACTION,2012.0,0.0,Movie,7.3,0.0,#ff3351,The Old Man & the Gun,"Action, Adventure, Drama"
ACTION,2012.0,0.0,Movie,4.6,0.0,#ff3351,Last Flight to Abuja,"Action, Drama, Thriller"
ACTION,2012.0,0.0,Movie,7.1,0.0,#ff3351,Nameless Gangster: Rules of the Time,"Action, Crime, Drama"
ACTION,2012.0,0.0,Movie,6.0,0.0,#ff3351,Bunohan: Return to Murder,"Action, Drama"
ACTION,2012.0,0.0,Movie,6.6,117629.0,#001bff,The Bullet Vanishes,"Action, Adventure, Drama, Mystery, Thriller"
ACTION,2012.0,0.0,Movie,5.7,0.0,#ff3351,The Last Supper,"Action, History"
ACTION,2012.0,0.0,Movie,5.3,0.0,#ff3351,Life Ki Toh Lag Gayi,"Action, Comedy"
ACTION,2012.0,0.0,Movie,5.2,0.0,#ff3351,Imperfect,"Action, Crime"
ACTION,2012.0,0.0,Movie,6.7,0.0,#ff3351,Doraemon the Movie: Nobita and the Island of Miracles - Animal Adventure,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi"
ACTION,2012.0,0.0,Movie,6.6,0.0,#ff3351,Cold War,"Action, Crime, Mystery, Thriller"
ACTION,2012.0,0.0,Movie,8.2,40311.0,#001bff,Paan Singh Tomar,"Action, Biography, Crime, Sport, Thriller"
ACTION,2012.0,0.0,Movie,6.8,10017.0,#001bff,Arjun: The Warrior Prince,"Animation, Action, Adventure"
ACTION,2012.0,0.0,Movie,7.0,17077.0,#001bff,Grandmaster,"Action, Thriller"
ACTION,2012.0,0.0,Movie,5.9,204373.0,#001bff,Vettai,Action
ACTION,2012.0,0.0,Movie,6.1,213476.0,#001bff,Thaandavam,"Action, Thriller"
ACTION,2012.0,0.0,Movie,6.6,0.0,#ff3351,My True Friend,Action
ACTION,2012.0,0.0,Movie,7.9,0.0,#ff3351,One Piece Film Z,"Animation, Action, Adventure, Fantasy"
ACTION,2012.0,0.0,Movie,8.0,0.0,#ff3351,Ghost in the Shell: Solid State Society,"Animation, Action, Adventure, Sci-Fi"
ACTION,2012.0,0.0,Movie,4.1,0.0,#ff3351,Players,"Action, Crime, Thriller"
ACTION,2012.0,0.0,Movie,5.0,0.0,#ff3351,Blood Money,"Action, Crime, Drama, Thriller"
ACTION,2012.0,0.0,Movie,6.3,0.0,#ff3351,Ultraman Saga,"Action, Sci-Fi"
ACTION,2012.0,0.0,Movie,6.1,0.0,#ff3351,Blood-C: The Last Dark,"Animation, Action, Adventure, Fantasy, Horror, Mystery"
ACTION,2012.0,0.0,Movie,8.2,0.0,#ff3351,Ju Chang Ban  PSYCHO-PASS saikopasu,"Animation, Action, Crime, Mystery, Sci-Fi, Thriller"
