Actors,Title,X,Y
 Abhay Deol,Zindagi Na Milegi Dobara,2011,8.2
 Abhay Deol,One by Two,2014,4.2
 Abhay Deol,Chopsticks,2019,6.5
 Abhay Mahajan,CRD,2017,6.4
 Abhay Mahajan,Luckee,2019,4.4
 Abhimanyu Dasani,The Man Who Feels No Pain,2019,7.4
 Abhimanyu Singh,Pranaam,2019,4.3
 Abhinav Gomatam,Ee Nagaraniki Emaindi,2018,7.9
 Abhishek Bachchan,Yuva,2004,7.4
 Abhishek Bachchan,BluffMaster!,2005,6.6
 Abhishek Bachchan,Kabhi Alvida Naa Kehna,2006,6.1
 Abhishek Bachchan,Guru,2007,7.7
 Abhishek Bachchan,Dostana,2008,6.5
 Abhishek Bachchan,Friendship,2008,6.5
 Abhishek Bachchan,Father,2009,7.2
 Abhishek Bachchan,Delhi 6,2009,6.1
 Abhishek Bachchan,Game,2011,5.2
 Abhishek Bachchan,Players,2012,4.1
 Abhishek Bachchan,Alles ist gut,2015,3.8
 Abhishek Banerjee,Ajji,2017,6.9
 Abhishek C,Bobby Jasoos,2014,5.5
 Abhishek Deshmukh,15-Aug,2019,5.8
 Abhishek H.N.,Thithi,2017,8.2
 Abigail Adriano,THE UNLISTED,2019,6.5
 Abigail Breslin,My Sisters Keeper,2009,7.4
 Abigail Breslin,Zombieland,2009,7.6
 Abigail Breslin,Rango,2011,7.2
 Abigail Breslin,The Call,2013,6.7
 Abigail Breslin,The Call,2013,6.7
 Abigail Breslin,The Call,2013,6.7
 Abigail Breslin,Scream Queens,2015,7.1
 Abigail Breslin,Maggie,2015,5.6
 Abigail Breslin,Zombieland: Double Tap,2019,6.7
 Abigail Cowen,Fate: The Winx Saga,2021,7
 Abigail Cruttenden,Await Further Instructions,2018,4.8
 Abigail Gordon,Animal Mechanicals,2008,5.8
 Abigail Oliver,Chip and Potato,2018,6.4
 Abigail Pniowsky,The Rest Of Us,2020,6.2
 Abigail Spencer,Cowboys and Aliens,2011,6
 Abigail Spencer,The Forger,2015,5.8
 Abigail Spencer,Timeless,2016,7.7
 Abio Abie,Satria Heroes: Revenge of the Darkness,2017,3.7
 Abir Chatterjee,The Royal Bengal Tiger,2014,6.9
 Abraham Adesoye,Zarafa,2012,7
 Abraham Clinkscales,Brightburn,2019,6.1
 Abraham George,Daughters of Destiny,2017,8.6
 Abraham Rodriguez,Power Rangers Beast Morphers,2019,6.9
 Abu Omar,The White Helmets,2016,7.5
 Abu Valayamkulam,Merku Thodarchi Malai,2018,8.6
 Aby,Chicken Kokkachi,2017,4.7
 Acchui,Gippi,2013,5.6
 Acha Septriasa,What Love Means,2005,5.6
 Achita Pramoj Na Ayudhya,Back to the 90s,2015,6.5
 Achita Sikamana,Shutter,2004,7.1
