,Actors,Title,X,Y
48260,Tony Chiu-Wai Leung,"Lust, Caution",2007,7.5
48261,Tony Chiu-Wai Leung,The Great Magician,2011,5.9
48262,Tony Chiu-Wai Leung,The Silent War,2012,6.2
48263,Tony Chiu-Wai Leung,The Grandmaster,2013,6.6
48264,Tony Chiu-Wai Leung,Monster Hunt 2,2018,5.4
48265,Tony Curran,Underworld: Evolution,2006,6.7
48266,Tony Curran,Calibre,2018,6.8
48267,Tony Eusoff,Rise: Ini Kalilah,2018,4.9
48268,Tony Jaa,The Protector,2006,7.1
48269,Tony Jaa,Ong Bak 2: The Beginning,2008,6.2
48270,Tony Jaa,The Protector 2,2014,5.3
48271,Tony Jaa,Kill Zone 2,2016,6.7
48272,Tony Jayawardena,Chasing Liberty,2004,6.1
48273,Tony Ka Fai Leung,Cold War,2012,6.6
48274,Tony Ka Fai Leung,Beijing Love Story,2014,5.7
48275,Tony Kgoroge,Invictus,2009,7.3
48276,Tony Kgoroge,Skin,2009,6.9
48277,Tony Kgoroge,Cold Harbour,2014,5.3
48278,Tony Kgoroge,Tjovitjo,2017,5.9
48279,Tony Labrusca,Once Before,2020,5.9
48280,Tony Martin,Operation Buffalo,2020,6.3
48281,Tony Moras,Intervention,2008,8.6
48282,Tony Parker,Tony Parker: The Final Shot,2021,6.8
48283,Tony Rosato,The Adventures of Super Mario Bros. 3,1990,7.0
48284,Tony Sun,My MVP Valentine,2002,6.5
48285,Tony Tsz-Tung Wu,Weeds on Fire,2016,6.7
48286,Torgeir Lund,Ballet Boys,2015,7.4
48287,Tori Spelling,Trick,1999,7.1
48288,Torkel Petersson,The Master Plan,2015,5.4
48289,Tory Kittles,Dragged Across Concrete,2019,6.9
48290,Tory Mussett,The Condemned,2007,6.0
48291,Tosatid Darnkhuntod,Sleepless Society: Two Pillows & A Lost Soul,2020,5.7
48292,Toshi Toda,Menace II Society,1993,7.5
48293,Toshihiko Seki,Paranoia Agent,2005,8.1
48294,Toshiki Masuda,"Why the hell are you here, Teacher!?",2019,6.3
48295,Toshiki Masuda,Kabaneri of the Iron Fortress: The Battle of Unato,2019,6.7
48296,Toshio Furukawa,Dragon Ball Super: Broly,2019,7.9
48297,Toshirô Yanagiba,Hachi-Ko,1987,8.1
48298,Toshirô Yanagiba,Bayside Shakedown,1998,6.5
48299,Toshirô Yanagiba,Odoru Daisosasen 2: Bayside Shakedown 2,2003,5.8
48300,Tosin Cole,Gone Too Far,2014,5.7
48301,Tova Magnusson,Four More Years,2010,6.3
48302,Towa Araki,Strayers Chronicle,2015,4.9
48303,Towa Araki,Heroine Disqualified,2015,6.6
48304,Towa Araki,The Blue Hearts,2017,4.1
48305,Toygun Ates,Siccin,2014,6.2
48306,Toyotaka Hanazawa,Grasshopper,2015,5.4
48307,Tracee Ellis Ross,Girlfriends,2000,7.2
48308,Tracey Ashley,Tiffany Haddish Presents: They Ready,2019,6.2
48309,Tracey Ullman,The Little Lulu Show,1995,7.0
48310,Tracie Thoms,Straight Up,2020,6.8
48311,Tracy Ann Oberman,Hector and the Search for Happiness,2014,7.0
48312,Tracy Goode,Facing the Giants,2006,6.6
48313,Tracy Morgan,Tracy Morgan: Staying Alive,2017,6.1
48314,Trae Houlihan,Second Name,2002,5.5
48315,Traore,Atlantics,2019,6.7
48316,Travis Barker,Ill Sleep When Im Dead,2016,6.6
48317,Travis Draft,Scare Tactics,2003,6.7
48318,Travis Fimmel,Lean on Pete,2018,7.2
48319,Travis Pastrana,Nitro Circus: The Movie,2012,6.7
48320,Travis Tritt,Forever My Girl,2018,6.7
48321,Travis Turner,Ghost Patrol,2016,4.9
48322,Travis Willingham,Marvel Super Hero Adventures: Frost Fight!,2015,5.1
48323,Tre Cool,Fred Armisen: Standup For Drummers,2018,5.8
48324,Trent Reznor,Rush: Beyond the Lighted Stage,2010,8.4
48325,Trevor Gagnon,Shorts,2009,4.7
48326,Trevor Jackson,Burning Sands,2017,6.1
48327,Trevor Jackson,Superfly,2018,5.2
48328,Trevor Noah,Trevor Noah: Afraid of the Dark,2017,7.2
48329,Trevor Noah,Trevor Noah: Son of Patricia,2018,7.3
48330,Trey Parker,"South Park: Bigger, Longer and Uncut",1999,7.7
48331,Trey Parker,Team America: World Police,2004,7.2
48332,Trey Parker,Despicable Me 3,2017,6.3
48333,Trey Songz,Texas Chainsaw,2013,4.8
48334,Trey Songz,Blood Brother,2018,4.4
48335,Trieve Blackwood-Cambridge,Enterprice,2017,5.8
48336,Trimala Adhikari,Garbage,2018,3.3
48337,Trine Dyrholm,The Shooter,2013,5.5
48338,Trine Dyrholm,The Legacy,2014,7.7
48339,Trine Dyrholm,You Disappear,2017,5.9
48340,Trine Pallesen,Key House Mirror,2015,6.9
48341,Trombone Shorty,The Peanuts Movie,2015,7.1
48342,Trond Espen Seim,Varg Veum,2012,6.2
48343,Trond Halbo,Together,2009,6.6
48344,Troy Gentile,Good Luck Chuck,2007,5.6
48345,Troy Gentile,Drillbit Taylor,2008,5.7
48346,Tsubasa Kobayashi,Sand Chronicles,2007,8.7
48347,Tsugumi Nagasawa,Passions of a Private Secretary,2012,4.2
48348,Tsunehiko Kamijô,Porco Rosso,1994,7.7
48349,Tsutomu Takahashi,Sadako,2012,3.8
48350,Tsutomu Yamazaki,Go,2001,7.5
48351,Tsutomu Yamazaki,The Woodsman and the Rain,2012,7.1
48352,Tsuyoshi Ihara,Ninja,2009,5.5
48353,Tsuyoshi Muro,Akegarasu,2015,6.1
48354,Tsuyoshi Ujiki,Cure,2001,7.4
48355,Tulug Çizgen,Recep Ivedik 1,2008,4.6
48356,Tumen,Monster Run,2020,5.2
48357,Tuna Orhan,The Magician,2006,7.4
48358,Tunbosun Aiyedehin,Hakkunde,2017,6.5
48359,Ty Burrell,Modern Family,2009,8.4
48360,Ty Mahany,Monthly Girls Nozaki Kun,2014,7.7
48361,Tygo Gernandt,Elephants Dream 8 Hour,2006,5.7
48362,Tyler Hoechlin,Road to Perdition,2002,7.7
48363,Tyler Hoechlin,The Domestics,2018,5.7
48364,Tyler Hoechlin,Can You Keep a Secret?,2019,5.3
48365,Tyler Hynes,Serialized,2016,5.2
48366,Tyler Jacob Moore,The Stand at Paxton County,2020,6.3
48367,Tyler Robinson,Nureyev,2009,4.2
48368,Tyler Young,Polaroid,2019,5.1
48369,Tyrese Gibson,Fast Five,2011,7.3
48370,Tyrone Benskin,Real Detective,2016,8.1
48371,Tyson Rinehart,Steins;Gate 0,2018,8.4
48372,Tzu-Chuan Liu,On Children,2018,7.4
48373,Tânia Gaidarji,Irmão do Jorel,2014,9.1
48374,Téa Leoni,Madam Secretary,2014,7.6
48375,Téia Kane,A Esperança é a Ultima que Morre,2015,5.2
48376,Téo Echelard,SamSam,2007,6.3
48377,Tómas Lemarquis,Touch Me Not,2018,5.9
48378,Tôri Matsuzaka,"We Cant Change the World. But, We Wanna Build a School in Cambodia.",2011,6.8
48379,Tôri Matsuzaka,The Wings of the Kirin,2012,6.6
48380,Tôri Matsuzaka,My Life Changed When I Went to a Sex Parlor,2013,5.8
48381,Tôri Matsuzaka,The Journalist,2019,6.3
48382,Tôru Furuya,Mobile Suit Gundam,2001,8.0
48383,Tôru Furuya,BAKI,2018,6.7
48384,Tôru Masuoka,My Neighbors the Yamadas,2000,7.2
48385,Tôru Nakamura,Be-Bop Highschool: Koko Yotaro Elegy,1986,6.2
48386,Tôru Nakamura,Be-Bop Highschool: A Delinquent Student March,1987,6.3
48387,Tôru Nakamura,Be-Bop Highschool: Koko Yotaro Ondo,1988,3.4
48388,Tôru Nakamura,Abunai Deka Returns,1996,4.7
48389,Tôru Nakamura,Abunai deka forever the movie,1998,4.5
48390,Tôru Ôhira,The Laughing Salesman,1989,6.9
48391,Tôru Ôhira,The Laughing Salesman,1989,6.9
48392,Uche Jombo,Wives on Strike,2018,6.0
48393,Udaya Soundari,A YELLOW BIRD,2016,5.5
48394,Udhayanidhi Stalin,Psycho,2020,6.3
48395,Udo Kier,Old Money,2015,7.5
48396,Udo Samel,The Awakening of Motti Wolkenbruch,2019,6.6
48397,Ugo Conti,Matrimonio al Sud,2015,3.3
48398,Ujjwal Chopra,Bittoo Boss,2012,4.1
48399,Ukweli Roach,StreetDance,2010,5.9
48400,Ulas Torun,Hep Yek,2016,4.2
48401,Ulf Palme,Only a Mother,1949,6.7
48402,Ulrich Matthes,Downfall,2005,8.2
48403,Ulrich Noethen,Sams in Gefahr,2003,5.2
48404,Ulrich Tukur,Operation Valkyrie,2004,6.8
48405,Ulrich Tukur,The Lives of Others,2007,8.4
48406,Umesh Jagtap,Kaagar,2019,6.0
48407,Unnop Chanpaibool,Shutter,2004,7.1
48408,Urs Rechn,Inside Man: Most Wanted,2019,5.6
48409,Ursula Ofner,Murer: Anatomy of a Trial,2018,7.1
48410,Urvi Ashar,Chhota Bheem,2019,5.3
48411,Urzila Carlson,Urzila Carlson: Overqualified Loser,2020,6.1
48412,Uschi Glas,Winnetou and the Crossbreed,1973,5.8
48413,Usha Bachani,Gippi,2013,5.6
48414,Usha Jadhav,Firebrand,2019,5.2
48415,Usop Wilcha,Usop Wilcha Meghonjang Makhluk Muzium,2015,4.1
48416,Ute Sander,Otto - Der Neue Film,1987,5.8
48417,Utkarsh Ambudkar,Basmati Blues,2018,3.6
48418,Uwe Kockisch,Weissensee,2010,8.2
48419,Uwe Preuss,Patong Girl,2014,6.4
48420,Uzo Arukwe,In Line,2017,5.7
48421,V.S. Brodie,Go Fish,1994,5.6
48422,Vahdet Çakar,Recep Ivedik 3,2010,4.0
48423,Vahide Perçin,ANNE+,2016,6.5
48424,Vahidin Prelic,Incoming,2018,3.3
48425,Vahina Giocante,Un Prince (Presque) Charmant,2013,5.6
48426,Vaibhav Reddy,Anaamika,2014,5.6
48427,Vaishwath Shankar,Brahman Naman,2016,5.6
48428,Val Dexter,Grizzly Man,2005,7.8
48429,Val Kilmer,Batman Forever,1995,5.4
48430,Val Kilmer,The Prince of Egypt,1998,7.1
48431,Valentina Cervi,Euphoria,2018,6.4
48432,Valeria Bilello,I soliti idioti,2011,4.3
48433,Valeria Cavalli,Between Calmness and Passion,2001,6.6
48434,Valeria Eisenbart,Vicky and the Treasure of the Gods,2011,5.4
48435,Valeria Golino,Respiro,2002,7.0
48436,Valeria Golino,Ca$h,2008,6.0
48437,Valeria Menendez Rodriguez,Silvana Sin Lana,2016,7.5
48438,Valeria Solarino,I Can Quit Whenever I Want,2014,7.0
48439,Valerie Browning,Spelling the Dream,2020,6.9
48440,Valerie Harper,Strange Voices,1987,6.5
48441,Valerie Niehaus,Die Gustloff,2008,5.8
48442,Valeriu Andriuta,Breaking News,2017,6.0
48443,Valeriu Andriuta,A Gentle Creature,2017,6.6
48444,Valeriu Andriuta,A Decent Man,2018,5.5
48445,Valeriya Polyanychko,Candyflip,2019,6.0
48446,Valetta Bradford,From One Second to the Next,2013,7.4
48447,Vali Popescu,Between Pain and Amen,2019,7.4
48448,Valin Shinyei,Noddy Toyland Detective,2016,6.9
48449,Valin Shinyei,Tobot,2018,6.5
48450,Valtteri Bottas,Formula 1: Drive to Survive,2019,8.6
48451,Valérie Lemercier,Linvite,2007,5.6
48452,Valérie Lemercier,Bienvenue à bord,2011,5.5
48453,Valérie Mairesse,Funny Boy,1987,4.6
48454,Van Thom Lê,The Scent of Burning Grass,2012,8.2
48455,Vance Larena,Dead Kids,2019,5.6
48456,Vanda Hybnerová,The Little Man,2015,7.4
48457,Vandana Hart,We Speak Dance,2018,7.6
48458,Vanessa Aleksander,The Hater,2020,7.1
48459,Vanessa Grasse,Leatherface,2017,5.0
48460,Vanessa Hudgens,Gimme Shelter,2014,6.5
48461,Vanessa Hudgens,Second Act,2018,5.8
48462,Vanessa Lee Asher,Barb Wire,1996,3.3
48463,Vanessa Nicole Hill,Maradona in Mexico,2019,7.2
48464,Vanessa Szamuhelova,Piatá loď,2017,6.7
48465,Vanessa Wasche,The Rewrite,2015,6.2
48466,Varalaxmi Sarathkumar,Echcharikkai,2018,6.4
48467,Varalaxmi Sarathkumar,Mr. Chandramouli,2018,5.2
48468,Varun Mehra,Chal Bhaag,2014,4.2
48469,Vasan Bala,Aamir,2008,7.7
48470,Vasil Fridrich,Vaterland: A Hunting Logbook,2004,6.3
48471,Vasile Calofir,Strajerii,2018,6.2
48472,Vasiliy Dakhnenko,The Princess and the Dragon,2018,4.6
48473,Vasin Asvanarunat,Ugly Duckling,2015,7.8
48474,Vavrinec Hradílek,Once Upon a Time in Paradise,2016,5.2
48475,Vebjørn Enger,The Ash Lad: In the Hall of the Mountain King,2017,6.2
48476,Vebjørn Enger,Battle,2018,6.0
48477,Ved Rao,THE UNLISTED,2019,6.5
48478,Venkatesh Kakumanu,Ee Nagaraniki Emaindi,2018,7.9
48479,Vera Farmiga,Source Code,2011,7.5
48480,Vera Farmiga,Special Correspondents,2016,5.8
48481,Vera Farmiga,The Front Runner,2018,6.1
48482,Vera Farmiga,Captive State,2019,6.0
48483,Vera Farmiga,Godzilla: King of the Monsters,2019,6.0
48484,Vera-Ellen,White Christmas,1954,7.6
48485,Verdi Solaiman,Suzzanna: Buried Alive,2018,5.6
48486,Vernetta Lopez,Equals,2016,6.1
48487,Veronica Maria Dos Santos,Unseen Enemy,2017,7.3
48488,Verónica Contreras,Labios Rojos,2011,5.2
48489,Vessy Boneva,Tunnel,2019,7.9
48490,Vibeke Hastrup,Krummerne - Så er det jul igen,2006,4.2
48491,Vic Chou,Meteor Garden,2001,7.8
48492,Vic Morrow,Humanoids from the Deep,1980,5.7
48493,Vica Kerekes,Men in Hope,2011,7.1
48494,Vicente Cohn,Todo Sobre El Asado,2017,6.6
48495,Vicki Glover,The Manson Family Massacre,2019,3.0
48496,Vicky Kaushal,Lust Stories,2018,6.5
48497,Vicky Kaushal,Love Per Square Foot,2018,7.2
48498,Vicky Kaushal,Midnight Misadventures With Mallika Dua,2018,3.0
48499,Vicky McClure,Line of Duty,2012,8.7
48500,Vicky McClure,Line of Duty,2012,8.7
48501,Vicky Vijai,Nila,2017,6.8
48502,Vicky Wanless,Target,2018,4.3
48503,Victoire Du Bois,Marianne,2019,7.5
48504,Victoire Du Bois,I Lost My Body,2019,7.6
48505,Victor Arnold,The Protector,1985,5.8
48506,Victor Artus Solaro,Nailed It! France,2019,6.4
48507,Victor Chambi,Kukuli,1961,6.4
48508,Victor Gojcaj,The Taking of Pelham 123,2009,6.4
48509,Victor Neri,BuyBust,2018,5.8
48510,Victor Sebestyen,The Russian Revolution,2017,6.6
48511,Victor Soares,Kiko,2014,8.1
48512,Victor Wong,Prince of Darkness,1987,6.7
48513,Victor Wong,3 Ninjas: Kick Back,1994,4.6
48514,Victor Yerrid,Pajanimals,2008,7.3
48515,Victoria Ananieva,Death Race: Beyond Anarchy,2018,5.2
48516,Victoria Clare,Behind Her Eyes,2018,6.2
48517,Victoria Cruz,The Death and Life of Marsha P. Johnson,2017,7.3
48518,Victoria Diamond,Creeped Out,2017,6.6
48519,Victoria Foyt,Déjà Vu,1998,7.0
48520,Victoria Koblenko,No Such Thing as Housewives,2017,6.6
48521,Victorio D'Alessandro,Secreto bien guardado,2019,4.9
48522,Vidya Balan,Father,2009,7.2
48523,Vidya Malvade,Tum Milo Toh Sahi,2010,5.6
