,Actors,Title,X,Y
15737, John Hurt,Bandyta,1997,6.6
15738, John Hurt,Merlin,2009,7.9
15739, John Hurt,The Gruffalo,2010,7.5
15740, John Hurt,Hercules,2014,6.0
15741, John Ingle,The Land Before Time V: The Mysterious Island,1997,6.0
15742, John Ireland,Queen Bee,1955,6.7
15743, John Jack,The Princess Switch: Switched Again,2020,5.3
15744, John Jarratt,Wolf Creek 2,2014,6.1
15745, John Kapelos,The Breakfast Club,1985,7.8
15746, John Karna,Premature,2014,5.8
15747, John Karna,Scream,2015,7.2
15748, John Kasich,"Whose Vote Counts, Explained",2020,7.3
15749, John Kathrein,P,2006,5.0
15750, John Kerry,The Final Year,2018,6.4
15751, John Krasinski,The Office (U.S.),2005,8.9
15752, John Krasinski,License to Wed,2007,5.3
15753, John Krasinski,Its Complicated,2009,6.5
15754, John Krasinski,Something Borrowed,2011,5.9
15755, John Krasinski,Kahlil Gibrans The Prophet,2015,7.1
15756, John Krasinski,A Quiet Place,2018,7.5
15757, John Krasinski,Next Gen,2018,6.6
15758, John Larroquette,Richie Rich,1994,5.4
15759, John Lasseter,The Pixar Story,2007,7.8
15760, John Leguizamo,Executive Decision,1996,6.4
15761, John Leguizamo,Romeo + Juliet,1996,6.7
15762, John Leguizamo,Spawn: The Movie,1997,5.3
15763, John Leguizamo,Land of the Dead,2005,6.2
15764, John Leguizamo,Walking with Dinosaurs,2013,5.2
15765, John Leguizamo,Ride Along,2014,6.2
15766, John Leguizamo,John Leguizamos Latin History for Morons,2018,7.5
15767, John Leguizamo,The Sun Is Also a Star,2019,5.9
15768, John Leguizamo,Critical Thinking,2020,6.4
15769, John Light,Dresden,2006,6.6
15770, John Lithgow,Daddys Home 2,2017,6.0
15771, John Lithgow,Late Night,2019,6.5
15772, John Lithgow,Bombshell,2019,6.8
15773, John Lloyd Cruz,One More Chance,2007,7.4
15774, John Lloyd Cruz,A Very Special Love,2008,6.7
15775, John Lloyd Cruz,My Amnesia Girl,2010,6.8
15776, John Lloyd Cruz,The Mistress,2012,6.3
15777, John Lloyd Cruz,It Takes a Man and a Woman,2013,6.7
15778, John Lloyd Cruz,A Second Chance,2015,7.1
15779, John Lloyd Cruz,Finally Found Someone,2017,5.7
15780, John Lone,The Shadow,1994,6.1
15781, John Lone,Rush Hour 2,2001,6.6
15782, John Lone,War,2007,6.2
15783, John Louie,Gremlins,1984,7.3
15784, John Lynch,The Fall,2013,8.2
15785, John M. Hull,Notes on Blindness,2016,7.1
15786, John Magaro,War Machine,2017,6.0
15787, John Mahoney,Primal Fear,1996,7.7
15788, John Malkovich,Dangerous Liaisons,1989,7.6
15789, John Malkovich,In the Line of Fire,1993,7.2
15790, John Malkovich,Burn After Reading,2008,7.0
15791, John Malkovich,Jonah Hex,2010,4.7
15792, John Malkovich,Red 2,2013,6.6
15793, John Malkovich,Cut Bank,2015,6.1
15794, John Malkovich,Bullet Head,2017,5.4
15795, John Malkovich,The Wilde Wedding,2017,5.2
15796, John Malkovich,Unlocked,2017,6.3
15797, John Malkovich,Bird Box,2018,6.6
15798, John Malkovich,Space Force,2020,6.8
15799, John Malkovich,The New Pope,2020,8.2
15800, John Malkovich,Ava,2020,5.4
15801, John Malkovich,Valley of the Gods,2020,4.5
15802, John Marley,Love Story,1970,6.9
15803, John McGinn,Flinch,2019,4.2
15804, John McKeever,Exorcist,2018,2.7
15805, John Meillon,Crocodile Dundee,1986,6.6
15806, John Meillon,Crocodile Dundee 2,1988,5.7
15807, John Michael Higgins,Fred Claus,2007,5.6
15808, John Michael Higgins,Kath and Kim,2008,4.9
15809, John Michael Higgins,Yes Man,2008,6.8
15810, John Michael Higgins,Breaking the Bank,2016,4.8
15811, John Michael Higgins,Shimmer Lake,2017,6.3
15812, John Mighton,Good Will Hunting,1998,8.3
15813, John Mills,Bean: The Movie,1997,6.5
15814, John Mulaney,John Mulaney: The Comeback Kid,2015,8.0
15815, John Mulaney,"Oh, Hello On Broadway",2017,7.8
15816, John Mulaney,Big Mouth,2017,8.0
15817, John Mulaney,John Mulaney: Kid Gorgeous at Radio City,2018,8.0
15818, John Musker,The Pixar Story,2007,7.8
15819, John Nichols,Athlete A,2020,7.7
15820, John O'Leary,The Heart Is a Lonely Hunter,1968,7.6
15821, John Ortiz,Aliens vs. Predator 2,2007,4.7
15822, John Ortiz,Peppermint,2018,6.5
15823, John Otrin,Friday the 13th: Part 7: The New Blood,1988,5.3
15824, John P. Ryan,Death Wish 4: The Crackdown,1987,5.5
15825, John Pankow,Episodes,2011,7.8
15826, John Patrick Amedori,The Vatican Tapes,2015,4.8
15827, John Paul Kakos,Full Count,2019,5.7
15828, John Paul Pitoc,Trick,1999,7.1
15829, John Paul Tremblay,Trailer Park Boys,2004,8.4
15830, John Paul Tremblay,Trailer Park Boys: The Movie,2006,7.2
15831, John Paul Tremblay,Trailer Park Boys: Say Goodnight to the Bad Guys,2008,7.9
15832, John Paul Tremblay,Trailer Park Boys: Countdown to Liquor Day,2009,7.4
15833, John Paul Tremblay,Swearnet: The Movie,2014,5.9
15834, John Paul Tremblay,Trailer Park Boys: Dont Legalize It,2014,7.3
15835, John Paul Tremblay,Trailer Park Boys Live In F**kin Dublin,2014,6.0
15836, John Paul Tremblay,Swearnet Live,2014,4.6
15837, John Paul Tremblay,Trailer Park Boys Live at the North Pole,2014,6.3
15838, John Paul Tremblay,Trailer Park Boys: Out of the Park: USA,2017,6.7
15839, John Paul Tremblay,One Last Shot,2017,6.8
15840, John Paul Tremblay,Trailer Park Boys: Out of the Park: Europe,2017,6.7
15841, John Paul Tremblay,Trailer Park Boys: The Animated Series,2019,7.5
15842, John Pingayak,Big Miracle,2012,6.5
15843, John Pyper-Ferguson,Wolves,2014,5.3
15844, John Quade,And You Thought Your Parents Were Weird,1991,4.7
15845, John Reardon,Ill Be Home for Christmas,2016,6.1
15846, John Rhys-Davies,In the Name of the King: A Dungeon Siege Tale,2008,3.8
15847, John Rhys-Davies,Golden Shoes,2015,3.6
15848, John Richardson,Shes the One,1965,5.8
15849, John Ritter,Problem Child,1990,5.5
15850, John Ritter,Stay Tuned!,1992,6.3
15851, John Robinson,The Amityville Murders,2018,4.7
15852, John Rogers,Wont You Be My Neighbor?,2018,8.4
15853, John Roselius,Lost Highway,1997,7.6
15854, John Samaha,Gods of Egypt,2016,5.4
15855, John Savage,Message in a Bottle,1999,6.3
15856, John Saxon,Enter the Dragon,1973,7.7
15857, John Saxon,Black Christmas,1974,7.2
15858, John Schneider,Riding Faith,2020,4.2
15859, John Schwab,Gladiatori di Roma,2014,5.2
15860, John Seago,Reversing Roe,2018,7.4
15861, John Shepherd,John Was Trying to Contact Aliens,2020,6.3
15862, John Simm,Life on Mars (U.K.),2006,8.3
15863, John Snyder,When They Cry,2006,7.9
15864, John Sparkes,Peppa Pig,2005,6.3
15865, John Sparkes,Shaun the Sheep,2007,8.2
15866, John Sparkes,Shaun the Sheep Movie,2015,7.3
15867, John Sparkes,Shaun the Sheep: The Farmer’s Llamas,2015,6.9
15868, John Sparkes,A Shaun the Sheep Movie: Farmageddon,2020,6.9
15869, John Stocker,The Adventures of Super Mario Bros. 3,1990,7.0
15870, John Stockwell,Christine,1983,6.7
15871, John Stockwell,Christine,1983,6.7
15872, John T. Reynolds,Netflix Presents: The Characters,2016,5.3
15873, John Taylor,Duran Duran: Theres Something You Should Know,2018,6.4
15874, John Teall,Amazing Interiors,2018,6.7
15875, John Travolta,Saturday Night Fever,1977,6.8
15876, John Travolta,Grease,1978,7.2
15877, John Travolta,Staying Alive,1983,4.7
15878, John Travolta,Look Whos Talking Now,1993,4.4
15879, John Travolta,Fiction.,1994,8.9
15880, John Travolta,Pulp Fiction,1994,8.9
15881, John Travolta,Michael,1996,5.7
15882, John Travolta,Broken Arrow,1996,6.1
15883, John Travolta,Michael,1996,5.7
15884, John Travolta,The Generals Daughter,1999,6.4
15885, John Travolta,Battlefield Earth,2000,2.5
15886, John Travolta,Swordfish,2001,6.5
15887, John Travolta,Hairspray,2007,6.6
15888, John Travolta,The Taking of Pelham 123,2009,6.4
15889, John Travolta,From Paris with Love,2010,6.5
15890, John Travolta,Killing Season,2013,5.4
15891, John Travolta,The Forger,2015,5.8
15892, John Travolta,In a Valley of Violence,2016,6.0
15893, John Travolta,I Am Wrath,2016,5.4
15894, John Travolta,Gotti,2018,4.8
15895, John Travolta,Speed Kills,2018,4.2
15896, John Travolta,The Fanatic,2019,4.1
15897, John Travolta,Trading Paint,2019,4.4
15898, John Tui,Born to Dance,2015,5.5
15899, John Turturro,"O Brother, Where Art Thou?",2001,7.7
15900, John Turturro,Mr. Deeds,2002,5.8
15901, John Turturro,Secret Window,2004,6.6
15902, John Turturro,You Dont Mess with the Zohan,2008,5.5
15903, John Turturro,Transformers: Dark of the Moon,2011,6.2
15904, John Turturro,Exodus: Gods and Kings,2014,6.0
15905, John Turturro,My Mothers Wound,2016,6.8
15906, John Turturro,Gloria Bell,2019,6.3
15907, John Turturro,Il nome della rosa,2019,7.0
15908, John Ventimiglia,Angelas Christmas Wish,1995,6.4
15909, John Ventimiglia,The Lovebirds,2008,5.6
15910, John Ventre,Hangar 1: The UFO Files,2014,7.3
15911, John Vernon,Dirty Harry,1971,7.7
15912, John Waters,2:22,2017,5.8
15913, John White,American Pie Presents: The Naked Mile,2006,5.2
15914, John White,American Pie Presents: Beta House,2007,5.3
15915, John Wick,Kiss the Ground,2020,8.3
15916, John Witherspoon,Next Friday,2000,6.2
15917, John Witherspoon,Friday After Next,2002,5.8
15918, John du Pont,Team Foxcatcher,2016,7.3
15919, John-Paul Howard,The Wretched,2020,5.8
15920, Johnathan Sturgess,Captain Underpants Mega Blissmas,2020,5.2
15921, Johnathon Schaech,Hush,1998,5.5
15922, Johnathon Schaech,Quarantine,2008,5.9
15923, Johnathon Schaech,Reprisal,2018,4.3
15924, Johnathon Schaech,Day of the Dead: Bloodline,2018,3.4
15925, Johnnie To,Boundless,2014,7.3
15926, Johnny A. Sanchez,Happy Feet,2006,6.4
15927, Johnny A. Sanchez,Happy Feet Two,2011,5.9
15928, Johnny Alite,Fear City: New York vs The Mafia,2020,7.1
15929, Johnny Depp,The Brave Yoshihiko,1997,6.3
15930, Johnny Depp,The Ninth Gate,2000,6.7
15931, Johnny Depp,Once Upon a Time in Mexico,2003,6.4
15932, Johnny Depp,Charlie and the Chocolate Factory,2005,6.6
15933, Johnny Depp,Sweeney Todd,2007,7.3
15934, Johnny Depp,The Tourist,2010,6.0
15935, Johnny Depp,Rango,2011,7.2
15936, Johnny Depp,Dark Shadows,2012,6.2
15937, Johnny Depp,Transcendence,2014,6.3
15938, Johnny Depp,Mortdecai,2015,5.5
15939, Johnny Ferro,Children of God,2011,6.6
15940, Johnny Flynn,Song One,2015,5.8
15941, Johnny Galecki,The Big Bang Theory,2006,8.1
15942, Johnny Galecki,Rings,2017,4.5
15943, Johnny Harris,Welcome to the Punch,2013,6.1
15944, Johnny Harris,Monsters: Dark Continent,2015,4.3
15945, Johnny Harris,Jawbone,2017,6.5
15946, Johnny Knoxville,Jackass: The Movie,2002,6.6
15947, Johnny Knoxville,Walking Tall,2004,6.3
15948, Johnny Knoxville,The Dukes of Hazzard,2005,5.1
15949, Johnny Knoxville,Jackass: Number Two: Unrated Version,2006,7.0
15950, Johnny Knoxville,Jackass: Number Two,2006,7.0
15951, Johnny Knoxville,Jackass 2.5,2007,6.4
15952, Johnny Knoxville,Jackass 3,2010,7.0
15953, Johnny Knoxville,Jackass 3.5: The Explicit Movie,2011,6.7
15954, Johnny Knoxville,Jackass Presents: Bad Grandpa,2013,6.5
15955, Johnny Knoxville,Skiptrace,2016,5.7
15956, Johnny Knoxville,Elvis and Nixon,2016,6.4
15957, Johnny Knoxville,Action Point,2018,5.1
15958, Johnny Knoxville,Above Suspicion,2020,5.5
15959, Johnny Lever,Hello Brother,1999,4.7
15960, Johnny Lewis,Aliens vs. Predator 2,2007,4.7
15961, Johnny Massaro,All The Reasons To Forget,2018,6.3
15962, Johnny Pacar,Wild Child,2008,6.1
15963, Johnny Pemberton,Son of Zorn,2016,6.8
15964, Johnny Rey Diaz,Independents Day,2016,2.0
15965, Johnny Rose,Monster Island,2017,4.8
15966, Johnny Rose,Legend Quest: Masters of Myth,2019,8.2
15967, Johnny Simmons,Evan Almighty,2007,5.4
15968, Johnny Simmons,Hotel for Dogs,2009,5.4
15969, Johnny Simmons,The To Do List,2013,5.8
15970, Johnny Simmons,The Late Bloomer,2016,5.2
15971, Johnny Simmons,Frank and Cindy,2016,6.1
15972, Johnny Simmons,Girlboss,2017,7.0
15973, Johnny Whitaker,Family Affair,1966,6.9
15974, Johnny Williamson,Death Can Wait,2013,7.8
15975, Johnny Yong Bosch,Bleach,2006,8.1
15976, Johnny Yong Bosch,Free!,2013,7.4
15977, Johnny Yong Bosch,Blue Exorcist,2014,7.5
15978, Johnny Yong Bosch,Cyborg 009 VS Devilman,2015,6.1
15979, Johnny Yong Bosch,Kuromukuro,2016,7.2
15980, Johnny Yong Bosch,Ajin,2016,7.6
15981, Johnny Yong Bosch,Digimon Adventure tri. Chapter 3: Confession,2016,7.9
15982, Johnny Yong Bosch,Eureka Seven: Hi-Evolution 1,2017,6.0
15983, Johnny Yong Bosch,B: The Beginning,2018,7.2
15984, Johnny Yong Bosch,Promare,2019,7.1
15985, Johnny Yong Bosch,Leo Da Vinci: Mission Mona Lisa,2019,5.1
15986, Johnny Yong Bosch,Tower of God,2020,7.9
15987, Johnny de Mol,Crimi Clowns: De Movie,2013,6.9
15988, Johnny de Mol,Woozle and Pip in Search of the Scallywagger!,2016,6.7
15989, Joie Lee,Farewell Amor,2020,6.9
15990, Joivan Wade,The First Purge,2018,5.2
15991, Jojo Goh,29 Februari,2012,6.4
15992, Joju George,Oru Vishsheshapetta Biryani Kissa,2017,5.5
15993, Joju George,Melle,2017,6.2
15994, Joju George,Kilometers and Kilometers,2020,6.3
15995, Jolene Blalock,Star Trek: Enterprise,2001,7.5
15996, Jolene Van Vugt,Nitro Circus: The Movie,2012,6.7
15997, Jolie Jenkins,Alexa and Katie,2018,7.5
15998, Jolijn Henneman,Misfit,2017,4.4
15999, Jomaa Zaabi,Fan of Amoory,2020,5.1
16000, Jon Abrahams,Clover,2020,4.2
16001, Jon Bailey,The Disastrous Life of Saiki K.: Reawakened,2019,7.9
16002, Jon Bander,Netflix Presents: The Characters,2016,5.3
16003, Jon Bernthal,Snitch,2013,6.4
16004, Jon Bernthal,The Accountant,2016,7.3
16005, Jon Bernthal,Baby Driver,2017,7.6
16006, Jon Bernthal,Sweet Virginia,2017,6.2
16007, Jon Bernthal,Marvels The Punisher,2017,8.5
16008, Jon Bernthal,Shot caller,2017,7.3
16009, Jon Bernthal,Pilgrimage,2017,5.8
16010, Jon Bernthal,Widows,2018,6.9
16011, Jon Bon Jovi,U-571,2000,6.6
16012, Jon Bowersox,To Be of Service,2019,7.2
16013, Jon Chevalier,Children of Men,2007,7.9
16014, Jon Cryer,Half & Half,2003,7.0
16015, Jon Cryer,Two and a Half Men,2003,7.0
16016, Jon Daly,The Secret Life of Walter Mitty,2013,7.3
16017, Jon DeVries,Too Young the Hero,1988,6.9
16018, Jon Dough,Butt Detective,1995,6.8
16019, Jon Favreau,Rudy,1993,7.5
16020, Jon Favreau,Wimbledon,2004,6.3
16021, Jon Favreau,Couples Retreat,2009,5.5
16022, Jon Favreau,Identity Thief,2013,5.7
16023, Jon Favreau,Chefs Table: BBQ,2014,7.3
16024, Jon Favreau,Chefs Table: France,2014,7.3
16025, Jon Favreau,Chef,2014,7.3
16026, Jon Favreau,The Chef Show,2019,8.2
16027, Jon Foster,Stay Alive,2006,5.1
16028, Jon Gries,Taken,2009,7.8
16029, Jon Hamm,The Town,2010,7.5
16030, Jon Hamm,Minions,2015,6.4
16031, Jon Hamm,Keeping Up with the Joneses,2016,5.9
16032, Jon Hamm,Baby Driver,2017,7.6
16033, Jon Hamm,Tag,2018,6.5
16034, Jon Hamm,Beirut,2018,6.4
16035, Jon Heder,Blades of Glory,2007,6.3
16036, Jon Kortajarena,High Seas,2019,6.8
16037, Jon Kortajarena,A Remarkable Tale,2019,5.3
16038, Jon Lee Anderson,Gabo: The Creation of Gabriel García Márquez,2015,7.3
16039, Jon Lovitz,The Benchwarmers,2006,5.5
16040, Jon Plazaola,The Little Switzerland,2019,4.8
16041, Jon Seda,12 Monkeys,1996,8.0
16042, Jon Silberg,Social Animals,2018,5.3
16043, Jon Silberg,Social Animals,2018,5.3
16044, Jon Stewart,Big Daddy,1999,6.4
16045, Jon Voight,Deliverance,1972,7.7
16046, Jon Voight,The Rainmaker,1997,7.2
16047, Jon Voight,Anaconda,1997,4.8
16048, Jon Voight,Ali & Alia,2001,6.8
16049, Jon Voight,Ali,2001,6.8
16050, Jon Voight,Same Kind of Different as Me,2017,6.6
16051, Jon Øigarden,Mennesker i solen,2011,5.4
16052, Jon Øigarden,Norsemen,2017,7.8
16053, Jon Øigarden,22 July,2018,6.8
16054, Jon-Jon Lockwood,The Brothers Grimsby,2016,6.2
16055, Jonah Ain,Fireman Sam: The Great Fire of PontyPandy,2015,6.4
16056, Jonah Bobo,The Backyardigans,2004,6.9
16057, Jonah Bobo,Zathura,2005,6.2
16058, Jonah Hauer-King,A Dogs Way Home,2019,6.7
16059, Jonah Hauer-King,World on Fire,2020,7.2
16060, Jonah Hill,Accepted,2006,6.4
16061, Jonah Hill,Superbad,2007,7.6
16062, Jonah Hill,The Invention of Lying,2009,6.4
16063, Jonah Hill,Megamind,2010,7.2
16064, Jonah Hill,Moneyball,2011,7.6
16065, Jonah Hill,The Sitter,2011,5.7
16066, Jonah Hill,The Watch,2012,5.7
16067, Jonah Hill,21 Jump Street,2012,7.2
16068, Jonah Hill,The Wolf of Wall Street,2013,8.2
16069, Jonah Hill,This Is the End,2013,6.6
16070, Jonah Hill,22 минуты,2014,7.0
16071, Jonah Hill,22 Jump Street,2014,7.0
16072, Jonah Hill,True Story,2015,6.3
16073, Jonah Hill,Maniac,2018,7.8
16074, Jonah Wineberg,Luna Petunia,2016,6.6
16075, Jonah Wineberg,Bakugan: Battle Planet,2018,5.4
16076, Jonas Chernick,My Awkward Sexual Adventure,2013,6.1
16077, Jonas Chernick,The Prague Orgy,2019,5.0
16078, Jonas Gülstorff,Anja and Viktor,2001,5.2
16079, Jonas Hoff Oftebro,Olsenbanden jr. Mestertyvens skatt,2010,4.8
16080, Jonas Hoff Oftebro,The Wave,2015,6.7
16081, Jonas Hämmerle,Vicky the Viking,2009,5.5
16082, Jonas Hämmerle,Vicky and the Treasure of the Gods,2011,5.4
16083, Jonas Inde,The Swimsuit Issue,2010,5.8
16084, Jonas Jägermeyr,Before the Fall,2005,7.4
16085, Jonas Karlsson,Den man alskar,2007,6.1
16086, Jonas Karlsson,Cockpit,2012,5.7
16087, Jonas Karlsson,The Snowman,2017,5.1
16088, Jonas Karlsson,LasseMajas detektivbyrå - Det första mysteriet,2018,5.8
16089, Jonas Malmsjö,Morden i Sandhamn,2010,6.8
16090, Jonas Nay,Homevideo,2011,7.4
16091, Jonas Strand Gravli,22 July,2018,6.8
16092, Jonas Strand Gravli,Ragnarok,2020,7.5
16093, Jonatan Spang,Fidibus,2006,5.7
16094, Jonatan Spang,All for Two,2013,5.8
16095, Jonathan A. Hanna,Dating Around,2019,6.3
16096, Jonathan Adams,Americas Book of Secrets,2012,6.8
16097, Jonathan Adams,LEGO Marvel Super Heroes: Guardians of the Galaxy,2017,6.0
16098, Jonathan Alter,Waiting for Superman,2010,7.5
16099, Jonathan Bailey,Crashing,2016,7.7
16100, Jonathan Bailey,Bridgerton,2020,7.3
16101, Jonathan Baillie,Virunga: Gorillas in Peril,2015,6.2
16102, Jonathan Banks,Flipper,1996,5.3
16103, Jonathan Banks,Term Life,2016,5.6
16104, Jonathan Banks,The Commuter,2018,6.3
16105, Jonathan Banks,El Camino: A Breaking Bad Movie,2019,7.3
16106, Jonathan Banks,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2019,7.2
16107, Jonathan Bennett,Christmas Made To Order,2018,5.7
16108, Jonathan Bennett,The Haunting of Sharon Tate,2019,2.8
16109, Jonathan Berlin,Tannbach - Schicksal eines Dorfes,2015,7.6
16110, Jonathan Brandis,The NeverEnding Story 2: The Next Chapter,1991,5.2
16111, Jonathan Capehart,Ask Dr. Ruth,2019,7.6
16112, Jonathan Cohen,Budapest,2019,5.4
16113, Jonathan D. Mellor,[REC] 2,2009,6.5
16114, Jonathan Daniel Brown,Project X,2012,6.6
16115, Jonathan Daviss,Outer Banks,2020,7.6
16116, Jonathan Dümcke,TKKG: The Secret to the Mysterious Mind Machine,2006,4.3
16117, Jonathan Espolin-Johnson,Together,2009,6.6
16118, Jonathan Firth,The Prince and Me 3: A Royal Honeymoon,2008,4.2
16119, Jonathan Frakes,Star Trek: The Next Generation,1987,8.6
16120, Jonathan Frakes,Star Trek: Generations,1994,6.6
16121, Jonathan Frakes,Star Trek: First Contact,1996,7.6
16122, Jonathan Frakes,Star Trek: Insurrection,1998,6.4
16123, Jonathan Frakes,Star Trek: Nemesis,2002,6.4
16124, Jonathan Good,12 Rounds 3: Lockdown,2020,5.2
16125, Jonathan Haagensen,City of Men,2007,7.2
16126, Jonathan Haagensen,Stronger Than The World,2016,7.1
16127, Jonathan Haagensen,The Mechanism,2018,8.4
16128, Jonathan Holmes,Norm of the North: Family Vacation,2020,3.1
16129, Jonathan Kydd,JFK: The Making of a President,2017,6.4
16130, Jonathan Lipnicki,Stuart Little,1999,5.9
16131, Jonathan Lipnicki,Stuart Little 2,2002,5.5
16132, Jonathan Majors,Captive State,2019,6.0
16133, Jonathan Majors,The Last Black Man in San Francisco,2019,7.3
16134, Jonathan Majors,Da 5 Bloods,2020,6.5
16135, Jonathan Mangum,Pupstar,2016,4.3
16136, Jonathan Morrill,Mekhong Full Moon Party,2002,7.2
16137, Jonathan Patrick Foo,The Outsider,2019,5.2
16138, Jonathan Pryce,Echelon Conspiracy,2009,5.8
16139, Jonathan Pryce,G.I. Joe: Retaliation,2013,5.8
16140, Jonathan Pryce,The Healer,2018,6.3
16141, Jonathan Pryce,The Two Popes,2019,7.6
16142, Jonathan Ross,Louis Theroux: Savile,2016,7.4
16143, Jonathan Roumie,Revolutionary Road,2009,7.3
16144, Jonathan Sadowski,Young and Hungry,2014,7.4
16145, Jonathan Salway,The Big Trip,2019,5.1
16146, Jonathan Samson,Nakee 2,2018,5.6
16147, Jonathan Samson,Nakee,2018,5.6
16148, Jonathan Scarfe,Van Helsing,2016,6.2
16149, Jonathan Togo,A Rising Tide,2015,5.7
16150, Jonathan Tucker,The Texas Chainsaw Massacre,2003,6.2
16151, Jonathan Tucker,The Ruins,2008,5.9
16152, Jonathan Werner Juel,Karlas Kabale,2007,5.3
16153, Jonathan Whitesell,Beyond,2017,7.0
16154, Jonathan Whitesell,The Kill Team,2019,5.9
16155, Jonelle Allen,As Seen On Tv,2005,8.6
16156, Jong-Hoon Yoon,Find Me in Your Memory,2020,7.4
16157, Jong-Hyun Hong,My Absolute Boyfriend,2019,6.8
16158, Jong-Won Lee,Ardor,2002,5.8
16159, Jong-goo Kim,The Sheriff in Town,2017,6.0
16160, Jong-ryol Choi,Herb,2007,6.5
16161, Jong-ryol Choi,The Suspect,2014,6.9
16162, Jong-ryol Choi,Romans 8:37,2017,7.2
16163, Jong-seo Jun,Burning,2018,7.5
16164, Jong-su Lee,Kick the Moon,2001,6.5
16165, Jonna Humphries,The Free State of Jones,2010,7.8
16166, Jonno Davies,Kingsman: The Secret Service,2015,7.7
16167, Jonny Cruz,Seis Manos,2019,7.2
16168, Jonny Lee Miller,Trainspotting,1996,8.1
16169, Jonny Weston,We Are Your Friends,2015,6.2
16170, Joo Jin-Woo,The Reservoir Game,2017,5.8
16171, Joo Min-Kyung,Something in the Rain,2018,8.1
16172, Joo Won,Dont Click,2012,4.8
16173, Joo Won,Good Doctor,2013,8.1
16174, Joo Won,Yong Pal,2015,7.5
16175, Joo-Wan On,Obsessed,2014,6.1
16176, Joo-yeon So,Lovestruck in the City,2020,7.4
16177, Joon Go,Oh My Baby,2020,7.3
16178, Joon Lee,Ninja Assassin,2009,6.3
16179, Joon Lee,Seoul Station,2016,6.1
16180, Joon Lee,Luck-Key,2016,6.9
16181, Joon-Bum Kim,Because I Love You,2017,6.5
16182, Joon-Sang Yoo,Hahaha,2010,6.7
16183, Joon-Sang Yoo,The Day He Arrives,2011,7.0
16184, Joon-Sang Yoo,R2B: Return to Base,2012,6.0
16185, Joon-Sang Yoo,Pyojeok,2015,6.3
16186, Joon-hee Song,Warm and Cozy,2015,6.7
16187, Joon-ho Huh,Silmido,2003,7.1
16188, Joon-ho Huh,Default,2018,6.6
16189, Joon-ho Huh,Come and Hug Me,2018,8.1
16190, Joon-ho Huh,Designated Survivor: 60 Days,2019,8.1
16191, Joon-hyuk Lee,Are You Human,2018,8.0
16192, Joon-hyuk Lee,Designated Survivor: 60 Days,2019,8.1
16193, Joon-hyuk Lee,The Lies Within,2019,6.8
16194, Joon-seo Bang,Secret,2009,6.7
16195, Joon-seok Heo,Judge vs. Judge,2017,7.2
16196, Joon-seok Heo,Extreme Job,2019,7.1
16197, Joon-young Jung,오늘의 연애,2015,6.2
16198, Jordan Ancel,Guardianes de Oz,2015,4.5
16199, Jordan Calloway,Countdown,2019,5.4
16200, Jordan Calloway,Always a Bridesmaid,2019,5.6
16201, Jordan Carlos,Ghost Town,2008,6.7
16202, Jordan Carlos,Sleeping with Other People,2015,6.5
16203, Jordan Castillo,The Day After,2018,6.4
16204, Jordan Chan,Ip Man: The Final Fight,2013,6.2
16205, Jordan Dulieu,My Pet Dinosaur,2017,3.9
16206, Jordan Fisher,To All the Boys: P.S. I Still Love You,2020,6.0
16207, Jordan Garrett,Death Sentence,2007,6.8
16208, Jordan Gavaris,Curse of Chucky,2013,5.6
16209, Jordan Gavaris,Orphan Black,2013,8.3
16210, Jordan Ladd,Grace,2009,5.1
16211, Jordan Long,Unforgotten,2018,8.2
16212, Jordan Nia Elizabeth,Juanita,2019,6.0
16213, Jordan Peele,Keanu,2016,6.3
16214, Jordan Poole,Birthmarked,2018,5.7
16215, Jordan Rock,The After Party,2018,5.8
16216, Jordan Sandhu,Kaake Da Viyah,2019,5.1
16217, Jordan Stephens,Tucked,2019,6.6
16218, Jordan Todosey,He Never Died,2015,6.4
16219, Jordan Ver Hoeve,Huge in France,2019,6.8
16220, Jordana Brewster,The Fast and the Furious,2001,6.8
16221, Jordana Brewster,D.E.B.S.,2005,5.3
16222, Jordana Brewster,The Texas Chainsaw Massacre: The Beginning,2006,5.8
16223, Jordana Brewster,Fast and Furious,2009,6.6
16224, Jordana Brewster,Fast Five,2011,7.3
16225, Jordana Brewster,Fast & Furious Presents: Hobbs & Shaw,2013,7.0
16226, Jordana Brewster,Fast and Furious 6,2013,7.0
16227, Jordana Brewster,American Heist,2015,5.0
16228, Jordana Capra,Atlas Shrugged: Part II,2012,5.4
16229, Jordana Largy,All For Love,2017,6.7
16230, Jordi Aguilar,Cathedral of the Sea,2018,7.5
16231, Jordi Alba,Matchday: Inside FC Barcelona,2019,8.0
16232, Jordi Gràcia,Hello! How Are You?,2011,7.3
16233, Jordi Llodrà,Persona,2015,6.5
16234, Jordi Mollà,Elizabeth: The Golden Age,2007,6.8
16235, Jordi Mollà,Colombiana,2011,6.4
16236, Jordi Mollà,Riddick,2013,6.4
16237, Jordi Sánchez,Heroes Wanted,2016,4.6
16238, Jordi Sánchez,"Lord, Give Me Patience",2017,5.3
16239, Jordi Vilches,El club de los buenos infieles,2018,5.5
16240, Jorge Blanco,Tini: The New Life of Violetta,2016,5.5
16241, Jorge Bolani,Whisky,2004,7.0
