Year,Films,IMDb_Score,Genre
2015,0,0.0,TALK-SHOW
2015,3,5.599999999999999,THRILLER
2015,1,7.7,WAR
2015,1,4.8,WESTERN
2016,6,6.266666666666667,ACTION
2016,0,0.0,ADULT
2016,3,6.033333333333334,ADVENTURE
2016,0,0.0,ANIMATION
2016,3,6.733333333333333,BIOGRAPHY
2016,7,6.1000000000000005,COMEDY
2016,4,7.1000000000000005,CRIME
2016,10,7.35,DOCUMENTARY
2016,12,5.958333333333333,DRAMA
2016,0,0.0,FAMILY
2016,2,4.449999999999999,FANTASY
2016,0,0.0,FILM-NOIR
2016,0,0.0,GAME-SHOW
2016,4,7.525,HISTORY
2016,3,3.6333333333333333,HORROR
2016,1,5.3,MUSIC
2016,0,0.0,MUSICAL
2016,3,4.8,MYSTERY
2016,1,8.3,NEWS
2016,0,0.0,REALITY-TV
2016,2,6.75,ROMANCE
2016,2,6.35,SCI-FI
2016,2,7.4,SHORT
2016,1,7.3,SPORT
2016,0,0.0,TALK-SHOW
2016,7,4.814285714285715,THRILLER
2016,2,7.35,WAR
2016,0,0.0,WESTERN
2017,7,6.228571428571429,ACTION
2017,0,0.0,ADULT
2017,1,7.3,ADVENTURE
2017,0,0.0,ANIMATION
2017,3,6.8999999999999995,BIOGRAPHY
2017,14,5.878571428571428,COMEDY
2017,9,6.022222222222222,CRIME
2017,19,6.978947368421053,DOCUMENTARY
2017,17,6.311764705882353,DRAMA
2017,1,5.8,FAMILY
2017,3,5.3999999999999995,FANTASY
2017,0,0.0,FILM-NOIR
2017,0,0.0,GAME-SHOW
2017,2,6.65,HISTORY
2017,5,5.58,HORROR
2017,1,7.0,MUSIC
2017,0,0.0,MUSICAL
2017,2,6.3,MYSTERY
2017,0,0.0,NEWS
2017,0,0.0,REALITY-TV
2017,7,5.914285714285714,ROMANCE
2017,3,6.533333333333334,SCI-FI
2017,2,6.9,SHORT
2017,3,7.433333333333334,SPORT
2017,0,0.0,TALK-SHOW
2017,9,5.777777777777778,THRILLER
2017,4,6.625,WAR
2017,1,5.7,WESTERN
2018,8,6.0875,ACTION
2018,0,0.0,ADULT
2018,4,6.375,ADVENTURE
2018,0,0.0,ANIMATION
2018,9,6.577777777777778,BIOGRAPHY
2018,28,6.05,COMEDY
