Year,Original,Series or Movie,Writer,Title,First_Writer,Films,Writers,Rating,Genre
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,DRAMA
2012.0,0.0,Movie,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,CRIME
2011.0,0.0,Movie,Julian Fellowes,Downton Abbey,Julian Fellowes,1,1,8.7,DRAMA
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,SCI-FI
2016.0,0.0,Series,Dan Fogelman,This Is Us,Dan Fogelman,1,1,8.7,ROMANCE
2012.0,0.0,Movie,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,DRAMA
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,MYSTERY
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,THRILLER
2016.0,1.0,Series,Peter Morgan,The Crown,Peter Morgan,1,1,8.7,HISTORY
2015.0,0.0,Series,"Peter Gould, Vince Gilligan",Better Call Saul,Peter Gould,1,1,8.7,DRAMA
2014.0,1.0,Series,Raphael Bob-Waksberg,BoJack Horseman,Raphael Bob-Waksberg,1,1,8.7,ANIMATION
2014.0,1.0,Series,Raphael Bob-Waksberg,BoJack Horseman,Raphael Bob-Waksberg,1,1,8.7,COMEDY
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,THRILLER
2016.0,0.0,Series,"Giovanni Bianconi, Stefano Bises, Ludovica Rampoldi, Roberto Saviano, Leonardo Fasoli",Gomorra -  La serie,Giovanni Bianconi,1,1,8.7,THRILLER
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,DRAMA
2019.0,0.0,Movie,"Jan Philipp Weyl, Michael Wogh",Running Against the Wind,Jan Philipp Weyl,1,1,8.7,DRAMA
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,CRIME
2016.0,1.0,Series,Peter Morgan,The Crown,Peter Morgan,1,1,8.7,DRAMA
2020.0,0.0,Series,"Phin Glynn, Simon Evans",Staged,Phin Glynn,1,1,8.7,DRAMA
2012.0,0.0,Movie,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,THRILLER
2016.0,0.0,Series,Dan Fogelman,This Is Us,Dan Fogelman,1,1,8.7,DRAMA
2013.0,1.0,Series,Beau Willimon,House of Cards,Beau Willimon,1,1,8.7,DRAMA
2017.0,0.0,Series,Moira Walley-Beckett,Anne with an E,Moira Walley-Beckett,1,1,8.7,DRAMA
2018.0,1.0,Series,Norm MacDonald,Norm Macdonald Has a Show,Norm MacDonald,1,1,8.7,TALK-SHOW
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,MYSTERY
2016.0,0.0,Series,Dan Fogelman,This Is Us,Dan Fogelman,1,1,8.7,COMEDY
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,HORROR
2016.0,1.0,Series,Peter Morgan,The Crown,Peter Morgan,1,1,8.7,BIOGRAPHY
2015.0,0.0,Series,"Peter Gould, Vince Gilligan",Better Call Saul,Peter Gould,1,1,8.7,CRIME
2016.0,0.0,Series,"Giovanni Bianconi, Stefano Bises, Ludovica Rampoldi, Roberto Saviano, Leonardo Fasoli",Gomorra -  La serie,Giovanni Bianconi,1,1,8.7,CRIME
2014.0,1.0,Series,Raphael Bob-Waksberg,BoJack Horseman,Raphael Bob-Waksberg,1,1,8.7,DRAMA
2019.0,0.0,Movie,"Muhammad Usamah Zaid, Shafiq Isa, Faqihin Mohd Fazlin, Fuad Md Din, Mohd Faiz Hanafiah, Hilman Bin Muhamad, Nazmi Yatim",Ejen Ali The Movie,Muhammad Usamah Zaid,1,1,8.6,MYSTERY
2015.0,0.0,Movie,"Sean Evans, Roger Waters",Roger Waters The Wall,Sean Evans,1,1,8.6,MUSIC
2010.0,0.0,Series,"Marv Wolfman, Nick Cardy, Carmine Infantino, Karl Kesel, Mark Waid, Tony S. Daniel, Tom Grummett, Paul Norris, Geoff Johns, George Papp, Jerry Ordway, Bob Kane, Bob Haney, Keith Giffen, Gardner Fox, George Pérez, Mort Weisinger, John Broome, Greg Weisman, Mike Wieringo, Brandon Vietti, Irv Novick",Young Justice,Marv Wolfman,1,1,8.6,ANIMATION
2019.0,0.0,Movie,"Muhammad Usamah Zaid, Shafiq Isa, Faqihin Mohd Fazlin, Fuad Md Din, Mohd Faiz Hanafiah, Hilman Bin Muhamad, Nazmi Yatim",Ejen Ali The Movie,Muhammad Usamah Zaid,1,1,8.6,ADVENTURE
2015.0,0.0,Series,Drew Goddard,Marvels Daredevil,Drew Goddard,1,1,8.6,SCI-FI
2010.0,0.0,Series,"Marv Wolfman, Nick Cardy, Carmine Infantino, Karl Kesel, Mark Waid, Tony S. Daniel, Tom Grummett, Paul Norris, Geoff Johns, George Papp, Jerry Ordway, Bob Kane, Bob Haney, Keith Giffen, Gardner Fox, George Pérez, Mort Weisinger, John Broome, Greg Weisman, Mike Wieringo, Brandon Vietti, Irv Novick",Young Justice,Marv Wolfman,1,1,8.6,SCI-FI
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,ANIMATION
2019.0,0.0,Movie,"Muhammad Usamah Zaid, Shafiq Isa, Faqihin Mohd Fazlin, Fuad Md Din, Mohd Faiz Hanafiah, Hilman Bin Muhamad, Nazmi Yatim",Ejen Ali The Movie,Muhammad Usamah Zaid,1,1,8.6,ACTION
2017.0,0.0,Series,"Kathleen Westlake, Hideki Sonoda",Beyblade Burst Evolution,Kathleen Westlake,1,1,8.6,FANTASY
2018.0,1.0,Series,"Kurt Mueller, Luke Pearson, Stephanie Simpson",Hilda,Kurt Mueller,1,1,8.6,COMEDY
2010.0,0.0,Series,"Marv Wolfman, Nick Cardy, Carmine Infantino, Karl Kesel, Mark Waid, Tony S. Daniel, Tom Grummett, Paul Norris, Geoff Johns, George Papp, Jerry Ordway, Bob Kane, Bob Haney, Keith Giffen, Gardner Fox, George Pérez, Mort Weisinger, John Broome, Greg Weisman, Mike Wieringo, Brandon Vietti, Irv Novick",Young Justice,Marv Wolfman,1,1,8.6,ACTION
2015.0,0.0,Series,Héctor Lozano,Merlí,Héctor Lozano,1,1,8.6,DRAMA
2015.0,0.0,Series,Drew Goddard,Marvels Daredevil,Drew Goddard,1,1,8.6,THRILLER
2017.0,0.0,Series,"Kathleen Westlake, Hideki Sonoda",Beyblade Burst Evolution,Kathleen Westlake,1,1,8.6,ACTION
2018.0,0.0,Series,"Ryan Murphy, Steven Canals, Brad Falchuk",Pose,Ryan Murphy,1,1,8.6,DRAMA
2014.0,0.0,Movie,"Jonathan Nolan, Christopher Nolan",Interstellar,Jonathan Nolan,1,1,8.6,ADVENTURE
2010.0,0.0,Series,"Marv Wolfman, Nick Cardy, Carmine Infantino, Karl Kesel, Mark Waid, Tony S. Daniel, Tom Grummett, Paul Norris, Geoff Johns, George Papp, Jerry Ordway, Bob Kane, Bob Haney, Keith Giffen, Gardner Fox, George Pérez, Mort Weisinger, John Broome, Greg Weisman, Mike Wieringo, Brandon Vietti, Irv Novick",Young Justice,Marv Wolfman,1,1,8.6,ROMANCE
2014.0,0.0,Series,Mackenzie Crook,Detectorists,Mackenzie Crook,1,1,8.6,COMEDY
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,ACTION
2015.0,0.0,Series,Drew Goddard,Marvels Daredevil,Drew Goddard,1,1,8.6,ACTION
2019.0,0.0,Movie,"Muhammad Usamah Zaid, Shafiq Isa, Faqihin Mohd Fazlin, Fuad Md Din, Mohd Faiz Hanafiah, Hilman Bin Muhamad, Nazmi Yatim",Ejen Ali The Movie,Muhammad Usamah Zaid,1,1,8.6,ANIMATION
2018.0,1.0,Series,"Kurt Mueller, Luke Pearson, Stephanie Simpson",Hilda,Kurt Mueller,1,1,8.6,FANTASY
2019.0,0.0,Movie,"Muhammad Usamah Zaid, Shafiq Isa, Faqihin Mohd Fazlin, Fuad Md Din, Mohd Faiz Hanafiah, Hilman Bin Muhamad, Nazmi Yatim",Ejen Ali The Movie,Muhammad Usamah Zaid,1,1,8.6,SCI-FI
2019.0,0.0,Movie,"Muhammad Usamah Zaid, Shafiq Isa, Faqihin Mohd Fazlin, Fuad Md Din, Mohd Faiz Hanafiah, Hilman Bin Muhamad, Nazmi Yatim",Ejen Ali The Movie,Muhammad Usamah Zaid,1,1,8.6,THRILLER
2010.0,0.0,Series,Pendleton Ward,Adventure Time,Pendleton Ward,1,1,8.6,FANTASY
2015.0,0.0,Series,Héctor Lozano,Merlí,Héctor Lozano,1,1,8.6,ROMANCE
2016.0,0.0,Series,Donald Glover,Atlanta,Donald Glover,1,1,8.6,DRAMA
2019.0,0.0,Movie,"Muhammad Usamah Zaid, Shafiq Isa, Faqihin Mohd Fazlin, Fuad Md Din, Mohd Faiz Hanafiah, Hilman Bin Muhamad, Nazmi Yatim",Ejen Ali The Movie,Muhammad Usamah Zaid,1,1,8.6,COMEDY
2014.0,0.0,Movie,"Jonathan Nolan, Christopher Nolan",Interstellar,Jonathan Nolan,1,1,8.6,SCI-FI
2018.0,0.0,Series,Mike Flanagan,The Haunting of Hill House,Mike Flanagan,1,1,8.6,DRAMA
2015.0,0.0,Series,Drew Goddard,Marvels Daredevil,Drew Goddard,1,1,8.6,FANTASY
2015.0,0.0,Movie,"Sean Evans, Roger Waters",Roger Waters The Wall,Sean Evans,1,1,8.6,DOCUMENTARY
2018.0,0.0,Series,"Ori Elon, Yehonatan Indursky",Shtisel,Ori Elon,1,1,8.6,DRAMA
2011.0,0.0,Series,"Paul Abbott, John Wells",Shameless (U.S.),Paul Abbott,1,1,8.6,COMEDY
