Year,Original,Series or Movie,Writer,Title,First_Writer,Films,Writers,Rating,Genre
2017.0,0.0,Series,"Bede Blake, Robert Butler",Creeped Out,Bede Blake,1,1,6.6,HORROR
2014.0,0.0,Movie,"João Jardim, Teresa Frota, George Moura",GetÃºlio,João Jardim,1,1,6.6,THRILLER
2011.0,0.0,Movie,"William Davies, Brian Lynch, Tom Wheeler",Puss in Boots,William Davies,1,1,6.6,FANTASY
2017.0,1.0,Series,Avi Arad,Super Monsters,Avi Arad,1,1,6.6,HORROR
2015.0,0.0,Movie,"Glenn Ficarra, John Requa",Focus,Glenn Ficarra,1,1,6.6,CRIME
2017.0,0.0,Series,Stuart Ross Fink,The Last Word,Stuart Ross Fink,1,1,6.6,COMEDY
2018.0,0.0,Movie,"Billy Ray, Mark L. Smith",Overlord,Billy Ray,1,1,6.6,SCI-FI
2012.0,0.0,Movie,"Keigo Higashino, Takeharu Sakurai",The Wings of the Kirin,Keigo Higashino,1,1,6.6,CRIME
2012.0,0.0,Movie,"Barbara Petronio, Carlo Bonini, Daniele Cesarano, Leonardo Valenti",A.C.A.B.: All Cops Are Bastards,Barbara Petronio,1,1,6.6,CRIME
2014.0,0.0,Movie,"Terence Hammond, Hofmeyr Scholtz",Four Corners,Terence Hammond,1,1,6.6,THRILLER
2018.0,0.0,Movie,"Ethan Hawke, Sybil Rosen",Blaze,Ethan Hawke,1,1,6.6,MUSIC
2018.0,0.0,Movie,"Davina Leonard, Tom Whitworth",Poacher,Davina Leonard,1,1,6.6,DRAMA
2019.0,0.0,Movie,"Jorge Guerricaechevarría, Juan Galiñanes",Eye For An Eye,Jorge Guerricaechevarría,1,1,6.6,DRAMA
2020.0,0.0,Movie,"P. Shijith, Anas Khan, Akhil Paul",Forensic,P. Shijith,1,1,6.6,CRIME
2015.0,0.0,Movie,Kim Bong-Joo,The Phone,Kim Bong-Joo,1,1,6.6,THRILLER
2017.0,0.0,Movie,"Anand Raghav, Arun Vaidyanathan",Nibunan,Anand Raghav,1,1,6.6,CRIME
2017.0,0.0,Movie,Mike Carey,The Girl with All the Gifts,Mike Carey,1,1,6.6,THRILLER
2014.0,0.0,Movie,"Cem Akas, Faruk Ozerten, Ozan Açiktan",Consequences ,Cem Akas,1,1,6.6,DRAMA
2017.0,0.0,Movie,"Max Borenstein, Derek Connolly, Dan Gilroy, John Gatins",Kong: Skull Island,Max Borenstein,1,1,6.6,FANTASY
2017.0,1.0,Series,Avi Arad,Super Monsters,Avi Arad,1,1,6.6,ANIMATION
2019.0,0.0,Movie,"Gregory Allen Howard, Kasi Lemmons",Harriet,Gregory Allen Howard,1,1,6.6,BIOGRAPHY
2017.0,0.0,Movie,Scott Lobdell,Happy Death Day,Scott Lobdell,1,1,6.6,THRILLER
2018.0,0.0,Movie,"Anvita Dutt, Abhishek Banerjee, Prosit Roy",Pari,Anvita Dutt,1,1,6.6,FANTASY
2020.0,0.0,Movie,"George Gallo, Peter Craig, Chris Bremner, Joe Carnahan",Bad Boys for Life,George Gallo,1,1,6.6,ACTION
2012.0,0.0,Series,Gerhard Hahn,Mia and Me,Gerhard Hahn,1,1,6.6,ANIMATION
2017.0,0.0,Movie,Judit Berg,Tales from the Lakeside,Judit Berg,1,1,6.6,FANTASY
2013.0,0.0,Movie,"Wayne Baxley, Sommore",Sommore: Chandelier Status,Wayne Baxley,1,1,6.6,COMEDY
2018.0,0.0,Movie,Matheus Souza,Ana e Vitória,Matheus Souza,1,1,6.6,MUSICAL
2018.0,0.0,Movie,"Emily M. Danforth, Desiree Akhavan, Cecilia Frugiuele",The Miseducation of Cameron Post,Emily M. Danforth,1,1,6.6,DRAMA
2011.0,0.0,Movie,Yoshimasa Ishibashi,Milocrorze: A Love Story,Yoshimasa Ishibashi,1,1,6.6,COMEDY
2019.0,0.0,Movie,"Christopher Miller, Bill Finger, Phil Lord, Matthew Fogel, William Moulton Marston, Joe Shuster, Bob Kane, Jerry Siegel",The LEGO Movie 2: The Second Part,Christopher Miller,1,1,6.6,MUSIC
2018.0,0.0,Movie,"Yûichi Fukuda, Hideaki Sorachi",Gintama 2: Rules Are Made To Be Broken,Yûichi Fukuda,1,1,6.6,ACTION
2012.0,0.0,Movie,Pablo F. Fenjves,Man on a Ledge,Pablo F. Fenjves,1,1,6.6,CRIME
2018.0,0.0,Movie,"Yûichi Fukuda, Hideaki Sorachi",Gintama 2: Rules Are Made To Be Broken,Yûichi Fukuda,1,1,6.6,SCI-FI
2011.0,0.0,Movie,"William Davies, Brian Lynch, Tom Wheeler",Puss in Boots,William Davies,1,1,6.6,ACTION
2010.0,0.0,Movie,"Andrew Bovell, Troy Kennedy-Martin, William Monahan",Edge of Darkness,Andrew Bovell,1,1,6.6,CRIME
2019.0,0.0,Movie,"Christopher Miller, Bill Finger, Phil Lord, Matthew Fogel, William Moulton Marston, Joe Shuster, Bob Kane, Jerry Siegel",The LEGO Movie 2: The Second Part,Christopher Miller,1,1,6.6,MUSICAL
2013.0,0.0,Movie,"Haofeng Xu, Kar-Wai Wong, Jingzhi Zou",The Grandmaster,Haofeng Xu,1,1,6.6,WAR
2014.0,0.0,Movie,"Tommy Lee Jones, Kieran Fitzgerald, Wesley A. Oliver, Glendon Swarthout",The Homesman,Tommy Lee Jones,1,1,6.6,DRAMA
2015.0,0.0,Movie,"Todd Louiso, William Shakespeare, Jacob Koskoff, Michael Lesslie",Macbeth,Todd Louiso,1,1,6.6,WAR
2014.0,0.0,Movie,"Evan Daugherty, Veronica Roth, Vanessa Taylor",Divergent,Evan Daugherty,1,1,6.6,ADVENTURE
2013.0,0.0,Movie,"Orson Scott Card, Gavin Hood",Enders Game,Orson Scott Card,1,1,6.6,ADVENTURE
2016.0,0.0,Movie,Hannibal Buress,Hannibal Buress: Comedy Camisado,Hannibal Buress,1,1,6.6,COMEDY
2010.0,0.0,Movie,"T.T. Dhavamanni, Chong Tze Chien",Gurushetram: 24 Hours Of Anger,T.T. Dhavamanni,1,1,6.6,CRIME
2019.0,0.0,Movie,Mary Rose Colindres,Iska,Mary Rose Colindres,1,1,6.6,DRAMA
2020.0,1.0,Movie,"Leandro Fernandez, Greg Rucka",The Old Guard,Leandro Fernandez,1,1,6.6,THRILLER
2019.0,0.0,Movie,"Jorge Guerricaechevarría, Juan Galiñanes",Eye For An Eye,Jorge Guerricaechevarría,1,1,6.6,ADVENTURE
2018.0,0.0,Movie,"Masafumi Nishida, Mitsuharu Yanamoto",Hibiki,Masafumi Nishida,1,1,6.6,DRAMA
2014.0,0.0,Movie,"Suzanne Collins, Peter Craig, Danny Strong",The Hunger Games: Mockingjay - Part 1,Suzanne Collins,1,1,6.6,SCI-FI
2019.0,0.0,Movie,Mira Mustaffa,Sangkar,Mira Mustaffa,1,1,6.6,DRAMA
2018.0,0.0,Movie,Matthew Orton,Operation Finale,Matthew Orton,1,1,6.6,DRAMA
2016.0,0.0,Movie,"Dante Lam, Wai Ching Tam, Kang Kei Chu, Siu-Kwan Lau, Eric Lin",Operation Mekong,Dante Lam,1,1,6.6,ACTION
2020.0,0.0,Movie,Rano Karno,Si Doel the Movie 3,Rano Karno,1,1,6.6,DRAMA
2014.0,0.0,Movie,Stephen Zotnowski,Barefoot,Stephen Zotnowski,1,1,6.6,COMEDY
2012.0,0.0,Movie,"Sin Ling Yeung, Chi-Leung Law",The Bullet Vanishes,Sin Ling Yeung,1,1,6.6,ACTION
2012.0,0.0,Movie,"Michael Bacall, Matt Drake",Project X,Michael Bacall,1,1,6.6,COMEDY
2017.0,0.0,Movie,"Michael Carney, Ron Hall, Lynn Vincent, Denver Moore, Alexander Foard",Same Kind of Different as Me,Michael Carney,1,1,6.6,BIOGRAPHY
2019.0,0.0,Movie,"Dan Hernandez, Hiroyuki Jinnai, Benji Samit, Junichi Masuda, Derek Connolly, Ken Sugimori, Rob Letterman, Satoshi Tajiri, Nicole Perlman",Pokémon Detective Pikachu,Dan Hernandez,1,1,6.6,ADVENTURE
2019.0,0.0,Movie,Casey Affleck,Light of My Life,Casey Affleck,1,1,6.6,SCI-FI
2017.0,0.0,Movie,"Anand Raghav, Arun Vaidyanathan",Nibunan,Anand Raghav,1,1,6.6,ACTION
2019.0,0.0,Movie,"Chris Van Allsburg, Jeff Pinkner, Scott Rosenberg, Jake Kasdan",Jumanji: The Next Level,Chris Van Allsburg,1,1,6.6,ADVENTURE
2016.0,0.0,Movie,Jim Strouse,The Hollars,Jim Strouse,1,1,6.6,DRAMA
2015.0,0.0,Movie,"Edoardo Maria Falcone, Marco Martani",God Willing,Edoardo Maria Falcone,1,1,6.6,COMEDY
2012.0,0.0,Series,Gerhard Hahn,Mia and Me,Gerhard Hahn,1,1,6.6,FANTASY
2014.0,0.0,Movie,"Andrew Brenner, Britt Allcroft, Wilbert Awdry",Thomas and Friends: Tale of the Brave,Andrew Brenner,1,1,6.6,ADVENTURE
2015.0,0.0,Movie,"Filippo Gravino, Guido Iuculano, Claudio Cupellini",Alaska,Filippo Gravino,1,1,6.6,DRAMA
2017.0,0.0,Movie,"Petr Kazda, Tomás Weinreb, Roman Cílek","I, Olga Hepnarova",Petr Kazda,1,1,6.6,DRAMA
2016.0,0.0,Movie,"Erik Fosnes Hansen, Vibeke Idsøe",The Lion Woman,Erik Fosnes Hansen,1,1,6.6,DRAMA
2017.0,0.0,Movie,Darren Aronofsky,Mother!,Darren Aronofsky,1,1,6.6,DRAMA
2015.0,0.0,Movie,Alberto Marini,Retribution,Alberto Marini,1,1,6.6,CRIME
2015.0,0.0,Movie,Yang-Joong Kim,The Con Artists,Yang-Joong Kim,1,1,6.6,CRIME
2012.0,0.0,Series,Gerhard Hahn,Mia and Me,Gerhard Hahn,1,1,6.6,FAMILY
2014.0,0.0,Movie,"Hilly Martinek, Til Schweiger",Head Full of Honey,Hilly Martinek,1,1,6.6,FAMILY
2015.0,0.0,Movie,Kim Bong-Joo,The Phone,Kim Bong-Joo,1,1,6.6,MYSTERY
2016.0,0.0,Movie,"Dante Lam, Wai Ching Tam, Kang Kei Chu, Siu-Kwan Lau, Eric Lin",Operation Mekong,Dante Lam,1,1,6.6,DRAMA
2012.0,0.0,Movie,"Nicolas Saada, Olivier Douyère, Frédéric Jardin",Sleepless Night,Nicolas Saada,1,1,6.6,CRIME
2011.0,0.0,Movie,Kareem Mortimer,Children of God,Kareem Mortimer,1,1,6.6,DRAMA
2017.0,0.0,Movie,"Fenar Ahmad, Adam August",Underverden,Fenar Ahmad,1,1,6.6,CRIME
2017.0,0.0,Movie,"Rhett Reese, Paul Wernick",Life,Rhett Reese,1,1,6.6,THRILLER
2020.0,1.0,Movie,"Sebastián Schindel, Pablo Del Teso",The Crimes That Bind,Sebastián Schindel,1,1,6.6,THRILLER
2019.0,0.0,Movie,Grady Hendrix,Iron Fists and Kung-Fu Kicks,Grady Hendrix,1,1,6.6,DOCUMENTARY
2017.0,0.0,Movie,"David Grann, James Gray",Lost City of Z,David Grann,1,1,6.6,DRAMA
2018.0,0.0,Movie,"Evgenia Peretz, Tamara Jenkins, Jim Taylor, Nick Hornby","Juliet, Naked",Evgenia Peretz,1,1,6.6,MUSIC
2019.0,0.0,Movie,"Robert Moore, Robert Rodat",The Command,Robert Moore,1,1,6.6,ADVENTURE
2013.0,0.0,Movie,"Wai Ching Tam, Benny Chan, Chun Wong, Manfred Wong, Ram Ling",Sao du,Wai Ching Tam,1,1,6.6,CRIME
2018.0,0.0,Movie,"Peter Craig, Doug Stanton, Ted Tally",12 Strong,Peter Craig,1,1,6.6,ACTION
2018.0,0.0,Movie,"Davina Leonard, Tom Whitworth",Poacher,Davina Leonard,1,1,6.6,ACTION
2020.0,0.0,Movie,Andrew Heckler,Burden,Andrew Heckler,1,1,6.6,DRAMA
2010.0,0.0,Movie,"Andrew Bovell, Troy Kennedy-Martin, William Monahan",Edge of Darkness,Andrew Bovell,1,1,6.6,MYSTERY
2014.0,0.0,Movie,"Ric Menello, James Gray",The Immigrant,Ric Menello,1,1,6.6,ROMANCE
2017.0,0.0,Movie,Mike Carey,The Girl with All the Gifts,Mike Carey,1,1,6.6,HORROR
2011.0,0.0,Movie,"Steve McVicker, Glenn Ficarra, John Requa",I Love You Phillip Morris,Steve McVicker,1,1,6.6,ROMANCE
2011.0,0.0,Movie,"Steve McVicker, Glenn Ficarra, John Requa",I Love You Phillip Morris,Steve McVicker,1,1,6.6,DRAMA
2017.0,0.0,Movie,"Rhett Reese, Paul Wernick",Life,Rhett Reese,1,1,6.6,HORROR
2012.0,0.0,Movie,"Kyu-dong Min, Sung-hye Heo, Pablo Solarz",All About My Wife,Kyu-dong Min,1,1,6.6,ROMANCE
2015.0,0.0,Movie,"Filippo Gravino, Guido Iuculano, Claudio Cupellini",Alaska,Filippo Gravino,1,1,6.6,ROMANCE
2020.0,0.0,Movie,Emma Jensen,I Am Woman,Emma Jensen,1,1,6.6,ROMANCE
2018.0,0.0,Movie,"Catherine Johnson, Richard Curtis, Ol Parker, Judy Craymer, ABBA",Mamma Mia! Here We Go Again,Catherine Johnson,1,1,6.6,ROMANCE
2019.0,0.0,Movie,"Jorge Guerricaechevarría, Juan Galiñanes",Eye For An Eye,Jorge Guerricaechevarría,1,1,6.6,ACTION
2015.0,0.0,Movie,"Jan Pachl, Jaroslav Kmenta",Gangster Ka: African,Jan Pachl,1,1,6.6,DRAMA
2017.0,0.0,Movie,"Alan Jonsson, Arturo Ruiz Serrano",La carga,Alan Jonsson,1,1,6.6,ROMANCE
2020.0,0.0,Movie,Maurício Meirelles,Maurício Meirelles: Generating Chaos,Maurício Meirelles,1,1,6.6,COMEDY
2018.0,0.0,Movie,"Evgenia Peretz, Tamara Jenkins, Jim Taylor, Nick Hornby","Juliet, Naked",Evgenia Peretz,1,1,6.6,ROMANCE
2017.0,1.0,Series,Aury Wallington,Spirit Riding Free,Aury Wallington,1,1,6.6,ACTION
2019.0,0.0,Movie,"Christopher Miller, Bill Finger, Phil Lord, Matthew Fogel, William Moulton Marston, Joe Shuster, Bob Kane, Jerry Siegel",The LEGO Movie 2: The Second Part,Christopher Miller,1,1,6.6,FANTASY
2018.0,0.0,Movie,"Jason Matthews, Justin Haythe",Red Sparrow,Jason Matthews,1,1,6.6,ACTION
2017.0,0.0,Movie,"Michel Hazanavicius, Anne Wiazemsky",Redoubtable,Michel Hazanavicius,1,1,6.6,DRAMA
2017.0,0.0,Series,"Bede Blake, Robert Butler",Creeped Out,Bede Blake,1,1,6.6,SCI-FI
2019.0,0.0,Movie,Thomas Meadmore,The Spy Who Fell to Earth,Thomas Meadmore,1,1,6.6,MYSTERY
2014.0,0.0,Movie,"Andrew Brenner, Britt Allcroft, Wilbert Awdry",Thomas and Friends: Tale of the Brave,Andrew Brenner,1,1,6.6,FAMILY
2012.0,0.0,Movie,Sarah Polley,Take This Waltz,Sarah Polley,1,1,6.6,COMEDY
2016.0,0.0,Movie,"Dante Lam, Wai Ching Tam, Kang Kei Chu, Siu-Kwan Lau, Eric Lin",Operation Mekong,Dante Lam,1,1,6.6,ADVENTURE
2014.0,0.0,Movie,"Alex Kurtzman, Steve Ditko, Jeff Pinkner, James Vanderbilt, Stan Lee, Roberto Orci",The Amazing Spider-Man 2,Alex Kurtzman,1,1,6.6,SCI-FI
2017.0,0.0,Movie,Mike Carey,The Girl with All the Gifts,Mike Carey,1,1,6.6,SCI-FI
2020.0,0.0,Movie,"P. Shijith, Anas Khan, Akhil Paul",Forensic,P. Shijith,1,1,6.6,MYSTERY
2013.0,0.0,Movie,Joe Berlinger,Hank: Five Years from the Brink,Joe Berlinger,1,1,6.6,NEWS
2016.0,0.0,Movie,Yoon-Jung Lee,Remember You,Yoon-Jung Lee,1,1,6.6,MYSTERY
2017.0,0.0,Movie,Kavi Raz,The Black Prince,Kavi Raz,1,1,6.6,DRAMA
2013.0,0.0,Movie,Ryô Kuemi,Beyond the Memories,Ryô Kuemi,1,1,6.6,ROMANCE
2017.0,0.0,Movie,"Miles Grose, Alyson Fouse, Jeff Stilson, Lance Crouther, Jon Macks, Rodney Barnes, Dino Shorte",Def Comedy Jam 25,Miles Grose,1,1,6.6,COMEDY
2013.0,0.0,Series,"Katarína Moláková, Katarína Kerekesová",Mimi and Lisa,Katarína Moláková,1,1,6.6,SHORT
2016.0,0.0,Movie,Alper Mestçi,Üç Harfliler 3: Karabüyü,Alper Mestçi,1,1,6.6,HORROR
2014.0,0.0,Movie,"Terence Hammond, Hofmeyr Scholtz",Four Corners,Terence Hammond,1,1,6.6,CRIME
2015.0,0.0,Movie,"Lilou Fogli, Tristan Schulmann, Mathieu Oullion, Clovis Cornillac",Blind Date,Lilou Fogli,1,1,6.6,COMEDY
2013.0,0.0,Movie,"James Wan, Leigh Whannell",Insidious Chapter 2,James Wan,1,1,6.6,HORROR
2019.0,0.0,Movie,"Andrew Rhymer, Jeff Chan",Plus One,Andrew Rhymer,1,1,6.6,COMEDY
2017.0,0.0,Movie,"Max Borenstein, Derek Connolly, Dan Gilroy, John Gatins",Kong: Skull Island,Max Borenstein,1,1,6.6,SCI-FI
2018.0,0.0,Movie,"Yûichi Fukuda, Hideaki Sorachi",Gintama 2: Rules Are Made To Be Broken,Yûichi Fukuda,1,1,6.6,ADVENTURE
2018.0,0.0,Movie,Corneliu Porumboiu,Infinite Football,Corneliu Porumboiu,1,1,6.6,DOCUMENTARY
2010.0,0.0,Movie,"Andrew Bovell, Troy Kennedy-Martin, William Monahan",Edge of Darkness,Andrew Bovell,1,1,6.6,DRAMA
2016.0,0.0,Series,Ed Decter,Shadowhunters,Ed Decter,1,1,6.6,ROMANCE
2020.0,1.0,Movie,"Jack Thorne, Nancy Springer",Enola Holmes,Jack Thorne,1,1,6.6,MYSTERY
2018.0,0.0,Movie,"Kenji Bando, Eric Kirsten",Midnight Sun,Kenji Bando,1,1,6.6,DRAMA
2010.0,0.0,Movie,"Cyrus Voris, Ethan Reiff, Brian Helgeland",Robin Hood,Cyrus Voris,1,1,6.6,ADVENTURE
2019.0,0.0,Movie,"Andrew Rhymer, Jeff Chan",Plus One,Andrew Rhymer,1,1,6.6,ROMANCE
2013.0,0.0,Movie,Simon Barrett,Youre Next,Simon Barrett,1,1,6.6,MYSTERY
2020.0,0.0,Series,Moisés Zamora,Selena: The Series,Moisés Zamora,1,1,6.6,DRAMA
2017.0,0.0,Series,"Kashyap Kapoor, Raghav Raj Kakker, Shreyansh Pandey",Inmates,Kashyap Kapoor,1,1,6.6,COMEDY
2013.0,0.0,Movie,Simon Barrett,Youre Next,Simon Barrett,1,1,6.6,THRILLER
2012.0,0.0,Movie,"David Agosto, Ken Kaufman, Dave Callaham, Sylvester Stallone, Richard Wenk",The Expendables 2,David Agosto,1,1,6.6,THRILLER
2015.0,0.0,Movie,Josh Haber,My Little Pony Equestria Girls: Friendship Games,Josh Haber,1,1,6.6,FAMILY
2013.0,0.0,Movie,Catriona McKenzie,Satellite Boy,Catriona McKenzie,1,1,6.6,FAMILY
2019.0,0.0,Movie,"Börge Hellström, Matt Cook, Andrea Di Stefano, Anders Roslund, Rowan Joffe",The Informer,Börge Hellström,1,1,6.6,DRAMA
2014.0,0.0,Movie,"Suzanne Collins, Peter Craig, Danny Strong",The Hunger Games: Mockingjay - Part 1,Suzanne Collins,1,1,6.6,ADVENTURE
2013.0,0.0,Movie,"Cully Hamner, Warren Ellis, Erich Hoeber, Jon Hoeber",Red 2,Cully Hamner,1,1,6.6,ADVENTURE
2019.0,0.0,Movie,"Chris Van Allsburg, Jeff Pinkner, Scott Rosenberg, Jake Kasdan",Jumanji: The Next Level,Chris Van Allsburg,1,1,6.6,FANTASY
2013.0,0.0,Movie,"Young-jong Lee, Jae-ho Jung, Sung-soo Kim",Flu,Young-jong Lee,1,1,6.6,SCI-FI
2016.0,0.0,Movie,Sung-soo Kim,Asura: The City of Madness,Sung-soo Kim,1,1,6.6,THRILLER
2020.0,0.0,Movie,"George Gallo, Peter Craig, Chris Bremner, Joe Carnahan",Bad Boys for Life,George Gallo,1,1,6.6,THRILLER
2017.0,0.0,Movie,Mike Carey,The Girl with All the Gifts,Mike Carey,1,1,6.6,ADVENTURE
2014.0,0.0,Movie,"Alex Kurtzman, Steve Ditko, Jeff Pinkner, James Vanderbilt, Stan Lee, Roberto Orci",The Amazing Spider-Man 2,Alex Kurtzman,1,1,6.6,ADVENTURE
2018.0,0.0,Movie,"Tetsuya Oishi, Fuminori Nakamura","Last Winter, We Parted",Tetsuya Oishi,1,1,6.6,MYSTERY
2019.0,0.0,Movie,"Adam Mervis, Matthew Michael Carnahan",21 Bridges,Adam Mervis,1,1,6.6,THRILLER
2018.0,0.0,Movie,"Andrew Hyatt, Terence Berden","Paul, Apostle of Christ",Andrew Hyatt,1,1,6.6,DRAMA
2017.0,0.0,Movie,"Mikkel Serup, Søren Felbo, Linn-Jeanethe Kyed",Pound for Pound,Mikkel Serup,1,1,6.6,DRAMA
2019.0,0.0,Movie,"Dan Hernandez, Hiroyuki Jinnai, Benji Samit, Junichi Masuda, Derek Connolly, Ken Sugimori, Rob Letterman, Satoshi Tajiri, Nicole Perlman",Pokémon Detective Pikachu,Dan Hernandez,1,1,6.6,ACTION
2016.0,0.0,Movie,Jeff Nichols,Midnight Special,Jeff Nichols,1,1,6.6,THRILLER
2013.0,0.0,Movie,Simon Barrett,Youre Next,Simon Barrett,1,1,6.6,CRIME
2015.0,0.0,Movie,"Doug Ellin, Rob Weiss",Entourage,Doug Ellin,1,1,6.6,COMEDY
2018.0,0.0,Movie,"Anvita Dutt, Abhishek Banerjee, Prosit Roy",Pari,Anvita Dutt,1,1,6.6,MYSTERY
2011.0,0.0,Movie,"Lewis John Carlino, Richard Wenk",The Mechanic,Lewis John Carlino,1,1,6.6,CRIME
2017.0,0.0,Movie,"Rhett Reese, Paul Wernick",Lifes Speed Bump,Rhett Reese,1,1,6.6,HORROR
2018.0,0.0,Series,"Jung-hee Lee, Nana Shiiba",Are You Ready? Hey You Girl!,Jung-hee Lee,1,1,6.6,ROMANCE
2016.0,0.0,Movie,"Dante Lam, Wai Ching Tam, Kang Kei Chu, Siu-Kwan Lau, Eric Lin",Operation Mekong,Dante Lam,1,1,6.6,CRIME
2017.0,0.0,Series,"Bede Blake, Robert Butler",Creeped Out,Bede Blake,1,1,6.6,DRAMA
2018.0,0.0,Movie,"Billy Ray, Mark L. Smith",Overlord,Billy Ray,1,1,6.6,HORROR
2015.0,0.0,Movie,Woody Allen,Irrational Man,Woody Allen,1,1,6.6,DRAMA
2018.0,0.0,Movie,Paul Negoescu,Povestea unui pierde vara,Paul Negoescu,1,1,6.6,DRAMA
2013.0,0.0,Movie,"James Wan, Leigh Whannell",Insidious Chapter 2,James Wan,1,1,6.6,MYSTERY
2013.0,0.0,Movie,"Keigo Higashino, Yasushi Fukuda",Midsummers Equation,Keigo Higashino,1,1,6.6,MYSTERY
2014.0,0.0,Movie,Tunde Babalola,October 1,Tunde Babalola,1,1,6.6,THRILLER
2018.0,0.0,Movie,"Jason Matthews, Justin Haythe",Red Sparrow,Jason Matthews,1,1,6.6,THRILLER
2015.0,0.0,Movie,Tobias Lindholm,April 9th,Tobias Lindholm,1,1,6.6,WAR
2015.0,0.0,Movie,"Lilou Fogli, Tristan Schulmann, Mathieu Oullion, Clovis Cornillac",Blind Date,Lilou Fogli,1,1,6.6,ROMANCE
2012.0,0.0,Movie,"Rashida Jones, Will McCormack",Celeste and Jesse Forever,Rashida Jones,1,1,6.6,COMEDY
2016.0,0.0,Series,Ed Decter,Shadowhunters,Ed Decter,1,1,6.6,FANTASY
2018.0,0.0,Movie,"Kristin Hahn, Julie Murphy",Dumplin,Kristin Hahn,1,1,6.6,DRAMA
2011.0,0.0,Movie,Jesus Orellana,Rosa & Dara a jejich dobrodružství,Jesus Orellana,1,1,6.6,ANIMATION
2017.0,0.0,Movie,Darren Aronofsky,Mother!,Darren Aronofsky,1,1,6.6,MYSTERY
2013.0,0.0,Movie,"Nai-Hoi Yau, Ryker Chan, Ka-Fai Wai, Xi Yu",Blind Detective,Nai-Hoi Yau,1,1,6.5,CRIME
2013.0,0.0,Movie,"Aury Wallington, Neal Israel",Jinxed,Aury Wallington,1,1,6.5,COMEDY
2016.0,0.0,Movie,"Daniel Ragussis, Michael German, Joe Turner Lin",Imperium,Daniel Ragussis,1,1,6.5,CRIME
2019.0,0.0,Movie,"Gary Dauberman, Stephen King",It Chapter Two,Gary Dauberman,1,1,6.5,FANTASY
2019.0,1.0,Movie,Everardo González,A 3 Minute Hug,Everardo González,1,1,6.5,SHORT
2017.0,0.0,Movie,"Ramiz Ilham Khan, Maitrey Bajpai",Carbon,Ramiz Ilham Khan,1,1,6.5,ADVENTURE
2020.0,0.0,Movie,Martín Sastre,Nasha Natasha,Martín Sastre,1,1,6.5,BIOGRAPHY
2012.0,0.0,Movie,"Shane Salerno, Don Winslow, Oliver Stone",Savages,Shane Salerno,1,1,6.5,CRIME
2013.0,0.0,Movie,"Mark Millar, John Romita Jr., Jeff Wadlow",Kick-Ass 2,Mark Millar,1,1,6.5,CRIME
2017.0,0.0,Movie,"Leste Chen, Peng Ren",Battle of Memories,Leste Chen,1,1,6.5,MYSTERY
2010.0,0.0,Movie,"Sang Man Kim, Hwi Kim",Midnight FM,Sang Man Kim,1,1,6.5,CRIME
2017.0,0.0,Movie,Kô Nakamura,Tori Girl!,Kô Nakamura,1,1,6.5,FAMILY
2016.0,0.0,Movie,Florian David Fitz,Der Geilste Tag,Florian David Fitz,1,1,6.5,COMEDY
2014.0,0.0,Movie,"Seong-soo Kim, Shirô Tsukasaki",Genome Hazard,Seong-soo Kim,1,1,6.5,DRAMA
2018.0,0.0,Movie,"Josef Formánek, Dan Svátek",Úsměvy smutných mužů,Josef Formánek,1,1,6.5,DRAMA
2013.0,0.0,Movie,"Mark Millar, John Romita Jr., Jeff Wadlow",Kick-Ass 2,Mark Millar,1,1,6.5,THRILLER
2014.0,0.0,Movie,"Seong-soo Kim, Shirô Tsukasaki",Genome Hazard,Seong-soo Kim,1,1,6.5,THRILLER
2016.0,0.0,Movie,"Erica Rivinoja, Jonathan Aibel, Thomas Dam, Glenn Berger",Trolls,Erica Rivinoja,1,1,6.5,MUSICAL
2011.0,0.0,Movie,"Jalil Lespert, Olivier Adam, Marie-Pierre Huster, Marion Laine",Des vents contraires,Jalil Lespert,1,1,6.5,MYSTERY
2011.0,0.0,Series,"Brian Hohlfeld, Nicole Dubuc, Jeff Kline",Transformers: Rescue Bots,Brian Hohlfeld,1,1,6.5,SHORT
2011.0,0.0,Movie,"Jennifer Devoldère, Romain Lévy, Cécile Sellam",The Day I Saw Your Heart,Jennifer Devoldère,1,1,6.5,DRAMA
2013.0,0.0,Movie,"Mark Millar, John Romita Jr., Jeff Wadlow",Kick-Ass 2,Mark Millar,1,1,6.5,COMEDY
2019.0,0.0,Movie,Brian Lynch,The Secret Life of Pets 2,Brian Lynch,1,1,6.5,ANIMATION
2017.0,0.0,Movie,"Brendan Mullin, Chris Baugh",Bad Day for the Cut,Brendan Mullin,1,1,6.5,DRAMA
2011.0,0.0,Movie,"Jennifer Devoldère, Romain Lévy, Cécile Sellam",The Day I Saw Your Heart,Jennifer Devoldère,1,1,6.5,COMEDY
2018.0,0.0,Movie,Justin Benson,The Endless,Justin Benson,1,1,6.5,FANTASY
2013.0,0.0,Movie,"Andrew Brenner, Britt Allcroft, Wilbert Awdry",Thomas and Friends: King of the Railway,Andrew Brenner,1,1,6.5,ADVENTURE
2019.0,0.0,Movie,"Gilles de Maistre, Prune de Maistre, Jean-Paul Husson, William Davies",Mia and the White Lion,Gilles de Maistre,1,1,6.5,FAMILY
2013.0,0.0,Movie,J.H. Wyman,Dead Man Down,J.H. Wyman,1,1,6.5,CRIME
